Metric,anti-IL-6 repebodies,anti-D8 antibodies,anti-Pfs25 antibodies,,,,,,,,,,,,,,,,,,,,,
Sequence Identity - VH (Variable Heavy Chain),NA,0.73,0.73,,,,,,,,,,,,,,,,,,,,,
Sequence Identity - VL (Variable Light Chain),NA,0.17,0.73,,,,,,,,,,,,,,,,,,,,,
BLOSUM Score of the six hyper variable residues,0.745,NA,NA,,,,,,,,,,,,,,,,,,,,,
BLOSUM Score- All CDRs (average BLOSUM score of all six CDR sequences) ,NA,0.804,0.41,,,,,,,,,,,,,,,,,,,,,
BLOSUM Score- CDRL1,NA,0.82,0.4,,,,,,,,,,,,,,,,,,,,,
BLOSUM Score- CDRL2 ,NA,0.75,0.39,,,,,,,,,,,,,,,,,,,,,
BLOSUM Score- CDRL3 ,NA,0.82,0.42,,,,,,,,,,,,,,,,,,,,,
BLOSUM Score- CDRH1 ,NA,0.816,0.43,,,,,,,,,,,,,,,,,,,,,
BLOSUM Score- CDRH2,NA,0.82,0.51,,,,,,,,,,,,,,,,,,,,,
BLOSUM Score- CDRH3,NA,0.83,0.47,,,,,,,,,,,,,,,,,,,,,
"RMSD (CB for repebodies, CA for antibodies)",0.75,0.22,0.52,,,,,,,,,,,,,,,,,,,,,
Episcope-Predicted Competition,NA,0.57,NA,,,,,,,,,,,,,,,,,,,,,
Epibin  (EOS = 0.5),0.79,0.47,0.71,,,,,,,,,,,,,,,,,,,,,
Epibin (EOS = 0.52),0.81,0.48,0.785,,,,,,,,,,,,,,,,,,,,,
Epibin (EOS = 0.54),0.83,0.44,0.77,,,,,,,,,,,,,,,,,,,,,
Epibin (EOS = 0.56),0.84,0.44,0.75,,,,,,,,,,,,,,,,,,,,,
Epibin (EOS = 0.58),0.86,0.42,0.815,,,,,,,,,,,,,,,,,,,,,
Epibin (EOS = 0.6),0.84,0.42,0.815,,,,,,,,,,,,,,,,,,,,,
Epibin (EOS = 0.62),0.88,0.38,0.80,,,,,,,,,,,,,,,,,,,,,
Epibin (EOS = 0.64),0.71,0.48,0.81,,,,,,,,,,,,,,,,,,,,,
Epibin (EOS = 0.65),0.69,0.55,0.82,,,,,,,,,,,,,,,,,,,,,
Epibin (EOS = 0.66),0.70,0.50,0.79,,,,,,,,,,,,,,,,,,,,,
Epibin (EOS = 0.68),0.66,0.58,0.80,,,,,,,,,,,,,,,,,,,,,
Epibin (EOS = 0.7),0.77,0.49,0.79,,,,,,,,,,,,,,,,,,,,,
