 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.027,0.386,0.102,0.179,0.065,0.029,0.000,0.095,0.015,0.000,0.207,0.000,0.000,0.143,0.476,0.000,0.186,0.239,0.349,0.000,0.525,0.000,0.119,0.641,0.043,0.000,0.404,0.000,0.000
model.000.01.pdb,0.373,0.258,0.000,0.015,0.000,0.133,0.194,0.512,0.029,0.232,0.211,0.014,0.365,0.382,0.042,0.000,0.156,0.014,0.000,0.000,0.365,0.000,0.031,0.062,0.000,0.042,0.046,0.000,0.133,0.032
model.000.02.pdb,0.039,0.061,0.108,0.056,0.149,0.085,0.037,0.000,0.096,0.040,0.040,0.052,0.026,0.024,0.037,0.123,0.037,0.653,0.046,0.078,0.000,0.200,0.226,0.041,0.230,0.051,0.167,0.149,0.100,0.141
model.000.03.pdb,0.000,0.027,0.676,0.100,0.136,0.063,0.058,0.000,0.061,0.015,0.000,0.268,0.000,0.000,0.159,0.800,0.043,0.060,0.450,0.513,0.000,0.550,0.000,0.098,0.444,0.014,0.000,0.595,0.000,0.000
model.000.04.pdb,0.380,0.242,0.016,0.000,0.000,0.155,0.237,0.333,0.000,0.214,0.115,0.000,0.321,0.471,0.014,0.000,0.177,0.000,0.018,0.000,0.591,0.000,0.000,0.031,0.000,0.014,0.015,0.031,0.047,0.000
model.000.05.pdb,0.000,0.000,0.240,0.179,0.196,0.000,0.000,0.000,0.129,0.000,0.000,0.543,0.000,0.000,0.460,0.400,0.000,0.029,0.487,0.553,0.000,0.265,0.000,0.196,0.300,0.177,0.000,0.218,0.000,0.000
model.000.06.pdb,0.000,0.000,0.235,0.218,0.283,0.000,0.000,0.000,0.183,0.000,0.000,0.636,0.000,0.000,0.451,0.422,0.000,0.043,0.475,0.622,0.000,0.286,0.000,0.259,0.347,0.194,0.000,0.236,0.000,0.000
model.000.07.pdb,0.119,0.137,0.000,0.091,0.014,0.000,0.068,0.458,0.101,0.121,0.805,0.000,0.246,0.141,0.000,0.000,0.082,0.055,0.000,0.000,0.101,0.000,0.309,0.058,0.000,0.053,0.404,0.000,0.490,0.353
model.000.08.pdb,0.000,0.000,0.288,0.203,0.286,0.000,0.000,0.000,0.210,0.000,0.000,0.617,0.000,0.000,0.444,0.417,0.000,0.056,0.432,0.524,0.000,0.314,0.000,0.263,0.373,0.238,0.000,0.286,0.000,0.000
model.000.09.pdb,0.620,0.435,0.028,0.000,0.000,0.339,0.466,0.169,0.000,0.455,0.067,0.000,0.519,0.642,0.024,0.000,0.466,0.037,0.029,0.000,0.708,0.000,0.083,0.000,0.000,0.000,0.000,0.039,0.000,0.000
model.000.10.pdb,0.000,0.000,0.000,0.614,0.674,0.000,0.000,0.045,0.744,0.000,0.043,0.434,0.000,0.000,0.444,0.062,0.000,0.086,0.033,0.164,0.000,0.000,0.029,0.714,0.186,0.625,0.125,0.000,0.125,0.153
model.000.11.pdb,0.000,0.000,0.156,0.418,0.549,0.000,0.000,0.013,0.414,0.000,0.000,0.566,0.000,0.000,0.417,0.250,0.000,0.153,0.186,0.340,0.000,0.194,0.000,0.411,0.481,0.349,0.026,0.145,0.026,0.056
model.000.12.pdb,0.000,0.000,0.179,0.346,0.479,0.000,0.000,0.000,0.345,0.000,0.000,0.596,0.000,0.000,0.400,0.288,0.000,0.103,0.265,0.465,0.000,0.179,0.000,0.392,0.438,0.283,0.014,0.164,0.014,0.047
model.000.13.pdb,0.000,0.041,0.550,0.100,0.155,0.098,0.058,0.000,0.061,0.030,0.000,0.291,0.000,0.000,0.177,0.658,0.028,0.109,0.381,0.513,0.000,0.550,0.000,0.117,0.512,0.028,0.000,0.558,0.000,0.000
model.000.14.pdb,0.000,0.027,0.364,0.067,0.182,0.066,0.014,0.000,0.062,0.015,0.000,0.190,0.000,0.000,0.127,0.386,0.000,0.232,0.244,0.295,0.000,0.500,0.000,0.083,0.658,0.044,0.000,0.383,0.000,0.000
model.000.15.pdb,0.234,0.338,0.014,0.000,0.000,0.262,0.239,0.088,0.000,0.322,0.114,0.000,0.250,0.133,0.000,0.000,0.317,0.373,0.000,0.000,0.127,0.029,0.407,0.000,0.014,0.000,0.185,0.013,0.132,0.159
model.000.16.pdb,0.520,0.400,0.062,0.000,0.000,0.423,0.481,0.145,0.000,0.389,0.042,0.000,0.351,0.491,0.000,0.029,0.429,0.000,0.032,0.000,0.638,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.000,0.000
model.000.17.pdb,0.491,0.450,0.091,0.000,0.000,0.400,0.537,0.121,0.000,0.418,0.040,0.000,0.333,0.466,0.000,0.028,0.456,0.038,0.030,0.000,0.569,0.014,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000
model.000.18.pdb,0.000,0.000,0.000,0.535,0.314,0.000,0.000,0.085,0.591,0.000,0.153,0.246,0.000,0.000,0.327,0.000,0.000,0.000,0.018,0.054,0.000,0.000,0.048,0.558,0.032,0.622,0.196,0.000,0.264,0.235
