 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.106,0.511,0.000,0.048,0.000,0.156,0.082,0.000,0.000,0.000,0.000,0.000,0.409,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.081,0.353,0.340,0.625,0.000,0.000,0.014,0.000,0.000,0.186
model.000.01.pdb,0.417,0.000,0.000,0.579,0.015,0.063,0.356,0.041,0.553,0.341,0.381,0.441,0.075,0.561,0.041,0.000,0.300,0.000,0.057,0.015,0.170,0.085,0.000,0.000,0.015,0.136,0.000,0.250,0.727,0.048
model.000.02.pdb,0.549,0.121,0.000,0.392,0.013,0.301,0.600,0.000,0.129,0.129,0.113,0.304,0.214,0.230,0.024,0.000,0.070,0.000,0.090,0.026,0.490,0.500,0.043,0.315,0.013,0.040,0.000,0.031,0.236,0.357
model.000.03.pdb,0.259,0.000,0.000,0.354,0.014,0.011,0.200,0.244,0.730,0.280,0.658,0.256,0.069,0.500,0.052,0.000,0.346,0.000,0.039,0.000,0.081,0.015,0.000,0.000,0.014,0.161,0.000,0.429,0.590,0.000
model.000.04.pdb,0.179,0.000,0.101,0.291,0.185,0.056,0.200,0.216,0.346,0.667,0.255,0.333,0.000,0.271,0.243,0.000,0.617,0.000,0.288,0.182,0.159,0.056,0.000,0.000,0.231,0.472,0.000,0.500,0.333,0.070
model.000.05.pdb,0.115,0.000,0.120,0.197,0.232,0.073,0.143,0.250,0.322,0.592,0.222,0.236,0.000,0.203,0.319,0.000,0.585,0.026,0.348,0.246,0.125,0.037,0.000,0.000,0.275,0.593,0.000,0.423,0.246,0.077
model.000.06.pdb,0.250,0.111,0.000,0.218,0.000,0.000,0.079,0.115,0.347,0.065,0.477,0.037,0.255,0.449,0.000,0.000,0.125,0.000,0.000,0.000,0.015,0.014,0.000,0.063,0.000,0.057,0.000,0.192,0.362,0.029
model.000.07.pdb,0.214,0.312,0.000,0.154,0.000,0.120,0.173,0.000,0.035,0.000,0.055,0.000,0.500,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.127,0.306,0.148,0.538,0.000,0.000,0.000,0.000,0.056,0.204
model.000.08.pdb,0.022,0.000,0.397,0.037,0.679,0.259,0.077,0.104,0.000,0.188,0.000,0.075,0.000,0.000,0.623,0.232,0.114,0.424,0.617,0.667,0.164,0.074,0.012,0.000,0.643,0.324,0.239,0.099,0.013,0.189
model.000.09.pdb,0.000,0.207,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.067,0.014,0.025,0.131,0.000,0.015,0.000,0.028,0.000,0.000,0.078,0.031,0.013,0.000,0.108,0.000,0.000,0.000
model.000.10.pdb,0.137,0.368,0.000,0.071,0.000,0.010,0.027,0.082,0.121,0.000,0.217,0.000,0.385,0.215,0.000,0.000,0.026,0.000,0.000,0.000,0.013,0.068,0.041,0.136,0.000,0.000,0.000,0.077,0.108,0.026
model.000.11.pdb,0.137,0.000,0.096,0.230,0.191,0.053,0.169,0.179,0.370,0.609,0.237,0.280,0.000,0.254,0.282,0.000,0.702,0.013,0.309,0.188,0.132,0.026,0.000,0.000,0.254,0.577,0.000,0.373,0.286,0.053
model.000.12.pdb,0.130,0.000,0.136,0.167,0.134,0.011,0.092,0.419,0.468,0.353,0.333,0.180,0.000,0.276,0.178,0.000,0.596,0.014,0.167,0.116,0.043,0.014,0.000,0.000,0.097,0.400,0.014,0.585,0.288,0.000
