 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.027,0.078,0.000,0.000,0.426,0.076,0.000,0.053,0.028,0.000,0.538,0.000,0.451,0.580,0.667,0.000,0.000,0.000,0.547,0.000,0.339,0.479,0.614,0.531,0.042,0.000
model.000.01.pdb,0.000,0.000,0.000,0.000,0.064,0.123,0.000,0.000,0.532,0.068,0.000,0.087,0.025,0.000,0.492,0.000,0.344,0.554,0.492,0.000,0.000,0.000,0.579,0.031,0.407,0.436,0.549,0.537,0.078,0.029
model.000.02.pdb,0.000,0.390,0.079,0.442,0.700,0.551,0.143,0.000,0.096,0.000,0.029,0.565,0.634,0.500,0.074,0.065,0.063,0.059,0.074,0.000,0.000,0.364,0.071,0.457,0.153,0.067,0.000,0.000,0.659,0.425
model.000.03.pdb,0.294,0.089,0.161,0.100,0.000,0.000,0.417,0.326,0.000,0.153,0.583,0.000,0.000,0.089,0.000,0.522,0.000,0.000,0.000,0.360,0.409,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089
model.000.04.pdb,0.241,0.148,0.327,0.155,0.014,0.000,0.438,0.409,0.000,0.062,0.400,0.027,0.014,0.127,0.000,0.690,0.000,0.000,0.000,0.190,0.400,0.226,0.000,0.037,0.000,0.000,0.000,0.000,0.028,0.127
model.000.05.pdb,0.000,0.033,0.028,0.015,0.177,0.246,0.000,0.000,0.574,0.000,0.000,0.203,0.091,0.033,0.393,0.000,0.241,0.426,0.560,0.000,0.000,0.016,0.481,0.098,0.698,0.438,0.327,0.327,0.197,0.069
model.000.06.pdb,0.000,0.000,0.000,0.000,0.179,0.225,0.000,0.000,0.655,0.027,0.000,0.186,0.147,0.000,0.556,0.000,0.418,0.566,0.680,0.000,0.000,0.000,0.686,0.016,0.580,0.562,0.415,0.463,0.197,0.015
model.000.07.pdb,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.347,0.042,0.000,0.000,0.000,0.172,0.000,0.150,0.194,0.087,0.158,0.017,0.000,0.167,0.000,0.029,0.138,0.245,0.296,0.000,0.000
model.000.08.pdb,0.373,0.048,0.188,0.061,0.000,0.000,0.358,0.383,0.000,0.161,0.600,0.000,0.000,0.048,0.000,0.510,0.000,0.000,0.000,0.412,0.500,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048
model.000.09.pdb,0.000,0.000,0.000,0.000,0.088,0.155,0.000,0.000,0.509,0.029,0.000,0.099,0.043,0.000,0.519,0.000,0.304,0.560,0.549,0.000,0.000,0.000,0.620,0.018,0.480,0.556,0.489,0.510,0.104,0.016
