 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,1.000,0.000,0.000,0.000,0.000,0.521,0.000,0.000,0.101,0.111,0.000,0.000,0.278,0.628,0.000,0.014,0.000,0.127,0.000,0.219,0.288,0.000,0.000,0.210,0.000,0.000,0.000,0.000,0.271,0.000
model.000.01.pdb,0.000,1.000,0.327,0.816,0.306,0.000,0.189,0.447,0.175,0.300,0.066,0.386,0.000,0.000,0.042,0.000,0.370,0.000,0.333,0.000,0.000,0.737,0.224,0.123,0.013,0.013,0.391,0.130,0.145,0.220
model.000.02.pdb,0.000,0.327,1.000,0.298,0.500,0.000,0.360,0.404,0.026,0.051,0.147,0.615,0.029,0.000,0.129,0.013,0.097,0.066,0.558,0.052,0.039,0.340,0.490,0.000,0.122,0.013,0.605,0.245,0.000,0.604
model.000.03.pdb,0.000,0.816,0.298,1.000,0.250,0.000,0.185,0.353,0.172,0.317,0.065,0.404,0.000,0.000,0.042,0.000,0.391,0.000,0.305,0.000,0.000,0.718,0.220,0.194,0.013,0.000,0.354,0.107,0.189,0.217
model.000.04.pdb,0.000,0.306,0.500,0.250,1.000,0.000,0.513,0.600,0.061,0.057,0.262,0.339,0.000,0.000,0.207,0.000,0.035,0.018,0.385,0.000,0.000,0.292,0.340,0.000,0.138,0.091,0.579,0.500,0.012,0.333
model.000.05.pdb,0.521,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.013,0.095,0.000,0.000,0.489,0.511,0.000,0.013,0.031,0.286,0.026,0.274,0.481,0.000,0.000,0.169,0.000,0.000,0.000,0.000,0.268,0.027
model.000.06.pdb,0.000,0.189,0.360,0.185,0.513,0.000,1.000,0.537,0.030,0.014,0.382,0.254,0.000,0.000,0.353,0.046,0.036,0.000,0.315,0.000,0.000,0.196,0.347,0.000,0.259,0.145,0.553,0.600,0.000,0.367
model.000.07.pdb,0.000,0.447,0.404,0.353,0.600,0.000,0.537,1.000,0.088,0.130,0.266,0.295,0.000,0.000,0.213,0.014,0.068,0.000,0.357,0.000,0.000,0.375,0.268,0.014,0.164,0.118,0.600,0.452,0.024,0.309
model.000.08.pdb,0.101,0.175,0.026,0.172,0.061,0.013,0.030,0.088,1.000,0.355,0.048,0.000,0.000,0.042,0.053,0.000,0.095,0.000,0.012,0.000,0.000,0.075,0.000,0.317,0.000,0.139,0.029,0.047,0.310,0.000
model.000.09.pdb,0.111,0.300,0.051,0.317,0.057,0.095,0.014,0.130,0.355,1.000,0.011,0.113,0.055,0.068,0.000,0.000,0.327,0.077,0.103,0.012,0.024,0.246,0.025,0.566,0.000,0.012,0.057,0.014,0.590,0.012
model.000.10.pdb,0.000,0.066,0.147,0.065,0.262,0.000,0.382,0.266,0.048,0.011,1.000,0.095,0.000,0.013,0.642,0.246,0.000,0.000,0.127,0.023,0.012,0.068,0.151,0.000,0.444,0.508,0.222,0.370,0.000,0.149
model.000.11.pdb,0.000,0.386,0.615,0.404,0.339,0.000,0.254,0.295,0.000,0.113,0.095,1.000,0.054,0.000,0.090,0.000,0.254,0.109,0.611,0.074,0.062,0.481,0.491,0.037,0.099,0.000,0.415,0.180,0.054,0.566
