 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.172,0.429,0.255,0.224,0.122,0.000,0.000,0.524,0.250,0.000,0.052,0.186,0.000,0.158,0.356,0.400,0.049,0.000,0.032,0.458,0.000,0.000,0.075,0.000,0.170,0.057,0.197,0.000,0.123,0.000
model.000.01.pdb,0.312,0.410,0.027,0.719,0.029,0.026,0.000,0.509,0.500,0.000,0.262,0.284,0.000,0.367,0.069,0.536,0.176,0.000,0.067,0.458,0.027,0.000,0.000,0.000,0.014,0.059,0.348,0.000,0.231,0.000
model.000.02.pdb,0.041,0.147,0.595,0.023,0.260,0.000,0.000,0.108,0.000,0.000,0.000,0.054,0.000,0.014,0.568,0.114,0.000,0.000,0.043,0.130,0.000,0.172,0.300,0.000,0.432,0.085,0.052,0.000,0.043,0.028
model.000.03.pdb,0.558,0.255,0.000,0.191,0.000,0.016,0.000,0.145,0.231,0.000,0.395,0.533,0.000,0.327,0.000,0.169,0.370,0.000,0.000,0.211,0.341,0.000,0.000,0.000,0.102,0.000,0.412,0.000,0.575,0.000
model.000.04.pdb,0.089,0.189,0.444,0.042,0.067,0.000,0.000,0.140,0.036,0.000,0.000,0.105,0.000,0.035,0.350,0.189,0.000,0.000,0.000,0.189,0.000,0.091,0.087,0.000,0.548,0.000,0.100,0.000,0.075,0.000
model.000.05.pdb,0.000,0.000,0.105,0.036,0.229,0.047,0.131,0.000,0.000,0.140,0.000,0.000,0.103,0.000,0.121,0.000,0.000,0.119,0.659,0.000,0.000,0.145,0.220,0.067,0.000,0.538,0.000,0.340,0.000,0.077
model.000.06.pdb,0.000,0.000,0.015,0.098,0.145,0.145,0.141,0.014,0.000,0.113,0.000,0.000,0.214,0.000,0.062,0.000,0.000,0.250,0.600,0.000,0.000,0.056,0.083,0.079,0.000,0.391,0.000,0.340,0.000,0.042
model.000.07.pdb,0.000,0.015,0.556,0.000,0.529,0.000,0.033,0.052,0.000,0.074,0.000,0.000,0.000,0.000,0.318,0.015,0.000,0.000,0.089,0.015,0.000,0.391,0.543,0.000,0.268,0.178,0.000,0.057,0.000,0.105
model.000.08.pdb,0.500,0.365,0.000,0.361,0.000,0.067,0.000,0.226,0.467,0.000,0.676,0.449,0.000,0.558,0.000,0.291,0.625,0.016,0.000,0.365,0.271,0.000,0.000,0.000,0.018,0.000,0.542,0.000,0.548,0.000
model.000.09.pdb,0.417,0.346,0.000,0.390,0.000,0.086,0.000,0.208,0.512,0.000,0.794,0.400,0.000,0.610,0.000,0.346,0.561,0.033,0.000,0.321,0.250,0.000,0.000,0.000,0.000,0.000,0.553,0.000,0.455,0.000
