 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.014,0.345,0.000,0.000,0.000,0.000,0.275,0.000,0.288,0.364,0.000,0.294,0.000,0.018,0.542,0.000,0.000,0.000,0.000,0.068,0.085,0.453,0.333,0.404,0.236,0.429,0.217,0.310,0.000,0.224
model.000.01.pdb,0.024,0.492,0.000,0.000,0.000,0.000,0.157,0.000,0.051,0.569,0.000,0.093,0.000,0.000,0.500,0.000,0.013,0.000,0.000,0.068,0.159,0.163,0.060,0.139,0.200,0.536,0.515,0.394,0.094,0.041
model.000.02.pdb,0.082,0.103,0.164,0.025,0.000,0.085,0.159,0.028,0.630,0.122,0.000,0.510,0.013,0.275,0.171,0.000,0.000,0.132,0.000,0.076,0.043,0.545,0.667,0.451,0.134,0.114,0.034,0.120,0.012,0.619
model.000.03.pdb,0.000,0.283,0.000,0.000,0.000,0.000,0.524,0.000,0.082,0.088,0.000,0.000,0.000,0.000,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.029,0.000,0.558,0.169,0.025,0.339,0.000,0.054
model.000.04.pdb,0.000,0.145,0.057,0.000,0.000,0.016,0.234,0.000,0.538,0.062,0.000,0.204,0.000,0.163,0.175,0.000,0.000,0.051,0.000,0.000,0.000,0.400,0.444,0.283,0.196,0.189,0.041,0.169,0.000,0.767
model.000.05.pdb,0.829,0.000,0.288,0.129,0.236,0.259,0.000,0.346,0.029,0.068,0.143,0.129,0.103,0.130,0.054,0.288,0.079,0.304,0.150,0.675,0.417,0.095,0.070,0.148,0.000,0.000,0.100,0.000,0.473,0.000
model.000.06.pdb,0.549,0.000,0.164,0.078,0.263,0.149,0.000,0.276,0.000,0.107,0.152,0.072,0.113,0.048,0.123,0.224,0.220,0.167,0.237,0.479,0.532,0.062,0.000,0.088,0.000,0.013,0.211,0.000,0.771,0.000
model.000.07.pdb,0.172,0.000,0.364,0.143,0.017,0.245,0.000,0.145,0.362,0.059,0.066,0.500,0.062,0.588,0.076,0.071,0.000,0.294,0.000,0.154,0.109,0.396,0.438,0.312,0.000,0.015,0.013,0.014,0.028,0.295
model.000.08.pdb,0.000,0.411,0.000,0.000,0.000,0.000,0.245,0.000,0.015,0.152,0.000,0.000,0.000,0.000,0.056,0.000,0.032,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.327,0.246,0.076,0.426,0.000,0.017
model.000.09.pdb,0.000,0.393,0.000,0.000,0.000,0.000,0.161,0.000,0.000,0.172,0.000,0.000,0.000,0.000,0.057,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.236,0.250,0.105,0.434,0.013,0.000
model.000.10.pdb,0.000,0.660,0.000,0.000,0.000,0.000,0.207,0.000,0.075,0.356,0.000,0.044,0.000,0.000,0.295,0.000,0.015,0.000,0.000,0.000,0.030,0.139,0.069,0.127,0.352,0.500,0.203,0.588,0.000,0.083
model.000.11.pdb,0.029,0.149,0.051,0.000,0.000,0.000,0.185,0.000,0.467,0.175,0.000,0.383,0.000,0.143,0.259,0.000,0.000,0.030,0.000,0.069,0.050,0.520,0.511,0.477,0.155,0.169,0.078,0.154,0.013,0.553
model.000.12.pdb,0.000,0.500,0.000,0.000,0.000,0.000,0.216,0.000,0.016,0.241,0.000,0.000,0.000,0.000,0.109,0.000,0.017,0.000,0.000,0.000,0.000,0.042,0.015,0.016,0.354,0.367,0.141,0.587,0.000,0.018
