 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.000,0.000,0.012,0.000,0.108,0.154,0.000,0.000,0.649,0.026,0.000,0.117,0.080,0.000,0.500,0.000,0.373,0.483,0.582,0.000,0.000,0.000,0.589,0.032,0.519,0.500,0.444,0.464,0.123,0.014
model.000.01.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.227,0.102,0.000,0.000,0.000,0.000,0.423,0.000,0.259,0.431,0.321,0.000,0.000,0.000,0.407,0.000,0.150,0.477,0.625,0.643,0.000,0.000
model.000.02.pdb,0.000,0.019,0.000,0.113,0.275,0.304,0.034,0.000,0.203,0.000,0.015,0.211,0.362,0.059,0.250,0.000,0.280,0.169,0.296,0.000,0.000,0.018,0.286,0.000,0.250,0.220,0.070,0.102,0.275,0.038
model.000.03.pdb,0.089,0.366,0.367,0.245,0.098,0.056,0.260,0.244,0.000,0.000,0.145,0.092,0.082,0.302,0.000,0.354,0.000,0.000,0.000,0.068,0.213,0.405,0.000,0.163,0.000,0.000,0.000,0.000,0.098,0.333
model.000.04.pdb,0.000,0.000,0.000,0.000,0.079,0.125,0.000,0.000,0.446,0.083,0.000,0.089,0.095,0.000,0.554,0.000,0.558,0.654,0.642,0.000,0.000,0.000,0.589,0.000,0.439,0.500,0.500,0.464,0.079,0.000
model.000.05.pdb,0.241,0.265,0.460,0.175,0.058,0.025,0.255,0.442,0.000,0.015,0.242,0.055,0.043,0.216,0.000,0.479,0.000,0.000,0.000,0.169,0.400,0.327,0.000,0.077,0.000,0.000,0.000,0.000,0.043,0.240
model.000.06.pdb,0.000,0.000,0.000,0.000,0.132,0.181,0.000,0.000,0.508,0.028,0.000,0.141,0.134,0.000,0.640,0.000,0.520,0.588,0.673,0.000,0.000,0.000,0.680,0.000,0.540,0.553,0.431,0.426,0.132,0.000
model.000.07.pdb,0.000,0.477,0.101,0.458,0.551,0.500,0.180,0.016,0.100,0.000,0.026,0.600,0.471,0.585,0.038,0.121,0.027,0.039,0.052,0.000,0.000,0.447,0.064,0.439,0.169,0.043,0.000,0.000,0.583,0.512
model.000.08.pdb,0.000,0.014,0.012,0.013,0.186,0.247,0.000,0.000,0.696,0.000,0.000,0.192,0.139,0.014,0.467,0.000,0.323,0.450,0.600,0.000,0.000,0.014,0.552,0.065,0.694,0.463,0.339,0.361,0.203,0.043
model.000.09.pdb,0.000,0.273,0.095,0.250,0.653,0.745,0.069,0.000,0.240,0.000,0.000,0.667,0.538,0.296,0.147,0.000,0.143,0.149,0.194,0.000,0.000,0.197,0.189,0.306,0.350,0.167,0.055,0.066,0.653,0.346
model.000.10.pdb,0.045,0.067,0.014,0.211,0.042,0.051,0.449,0.067,0.000,0.291,0.612,0.039,0.088,0.085,0.000,0.327,0.014,0.000,0.000,0.109,0.102,0.136,0.000,0.018,0.000,0.000,0.000,0.000,0.042,0.049
model.000.11.pdb,0.055,0.075,0.203,0.027,0.153,0.197,0.000,0.059,0.319,0.000,0.000,0.160,0.038,0.059,0.073,0.000,0.038,0.115,0.143,0.013,0.058,0.042,0.125,0.158,0.239,0.082,0.053,0.064,0.169,0.108
model.000.12.pdb,0.000,0.353,0.111,0.370,0.667,0.796,0.118,0.000,0.195,0.000,0.024,0.680,0.580,0.408,0.090,0.040,0.082,0.105,0.133,0.000,0.000,0.286,0.130,0.432,0.290,0.086,0.013,0.013,0.778,0.380
model.000.13.pdb,0.074,0.000,0.000,0.014,0.000,0.000,0.172,0.046,0.000,0.562,0.361,0.000,0.000,0.000,0.063,0.167,0.099,0.012,0.050,0.172,0.078,0.000,0.024,0.000,0.000,0.014,0.027,0.000,0.000,0.000
model.000.14.pdb,0.081,0.056,0.246,0.000,0.062,0.106,0.000,0.103,0.342,0.000,0.011,0.059,0.000,0.027,0.123,0.024,0.037,0.139,0.138,0.025,0.086,0.026,0.148,0.113,0.211,0.108,0.123,0.162,0.075,0.087
model.000.15.pdb,0.109,0.347,0.222,0.365,0.167,0.118,0.622,0.222,0.000,0.043,0.328,0.157,0.169,0.347,0.000,0.630,0.000,0.000,0.000,0.090,0.218,0.468,0.000,0.200,0.000,0.000,0.000,0.000,0.167,0.269
model.000.16.pdb,0.190,0.049,0.154,0.078,0.000,0.000,0.420,0.255,0.000,0.224,0.681,0.000,0.014,0.049,0.000,0.521,0.000,0.000,0.000,0.224,0.354,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049
model.000.17.pdb,0.088,0.113,0.053,0.175,0.053,0.035,0.520,0.113,0.000,0.310,0.680,0.037,0.068,0.113,0.000,0.444,0.013,0.000,0.000,0.134,0.167,0.180,0.000,0.068,0.000,0.000,0.000,0.000,0.039,0.078
model.000.18.pdb,0.127,0.065,0.069,0.164,0.013,0.024,0.521,0.138,0.000,0.259,0.841,0.025,0.056,0.065,0.000,0.500,0.000,0.000,0.000,0.197,0.218,0.113,0.000,0.017,0.000,0.000,0.000,0.000,0.013,0.048
model.000.19.pdb,0.000,0.136,0.040,0.263,0.529,0.686,0.042,0.000,0.233,0.000,0.025,0.547,0.540,0.196,0.153,0.000,0.149,0.139,0.203,0.000,0.000,0.129,0.197,0.196,0.345,0.156,0.042,0.054,0.625,0.196
model.000.20.pdb,0.395,0.058,0.500,0.034,0.000,0.000,0.192,0.667,0.000,0.016,0.207,0.000,0.000,0.038,0.000,0.333,0.000,0.000,0.000,0.265,0.647,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038
model.000.21.pdb,0.273,0.102,0.206,0.129,0.013,0.012,0.440,0.383,0.000,0.125,0.600,0.013,0.027,0.102,0.000,0.609,0.000,0.000,0.000,0.286,0.467,0.172,0.000,0.017,0.000,0.000,0.000,0.000,0.013,0.083
model.000.22.pdb,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.290,0.090,0.000,0.013,0.027,0.000,0.547,0.000,0.382,0.558,0.439,0.000,0.000,0.000,0.474,0.000,0.222,0.521,0.738,0.604,0.000,0.000
model.000.23.pdb,0.000,0.000,0.000,0.000,0.039,0.048,0.000,0.000,0.333,0.086,0.000,0.024,0.082,0.000,0.700,0.000,0.549,0.474,0.545,0.000,0.000,0.000,0.554,0.000,0.290,0.490,0.583,0.509,0.039,0.000
model.000.24.pdb,0.000,0.000,0.041,0.000,0.027,0.077,0.000,0.000,0.544,0.000,0.000,0.053,0.000,0.000,0.306,0.000,0.172,0.311,0.350,0.000,0.000,0.000,0.361,0.035,0.333,0.358,0.333,0.357,0.041,0.016
model.000.25.pdb,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.281,0.082,0.000,0.014,0.000,0.000,0.442,0.000,0.255,0.480,0.316,0.015,0.000,0.000,0.426,0.000,0.186,0.535,0.610,0.628,0.000,0.000
model.000.26.pdb,0.378,0.118,0.545,0.088,0.030,0.013,0.164,0.629,0.000,0.000,0.200,0.043,0.015,0.096,0.000,0.375,0.000,0.000,0.000,0.255,0.611,0.176,0.000,0.062,0.000,0.000,0.000,0.000,0.046,0.096
model.000.27.pdb,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.250,0.123,0.000,0.014,0.000,0.000,0.404,0.000,0.314,0.469,0.304,0.000,0.000,0.000,0.442,0.000,0.214,0.488,0.641,0.619,0.000,0.000
