 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.00.pdb,0.604,0.469,0.214,0.000,0.518,0.000,0.600,0.053,0.536,0.183,0.000,0.132,0.122,0.012,0.156,0.000,0.000,0.000,0.000,0.174,0.000,0.000,0.538,0.537,0.386,0.553,0.000,0.449
model.000.01.pdb,0.013,0.000,0.000,0.354,0.000,0.392,0.000,0.104,0.013,0.097,0.014,0.209,0.114,0.000,0.254,0.190,0.123,0.040,0.056,0.041,0.422,0.175,0.000,0.000,0.042,0.000,0.467,0.000
model.000.02.pdb,0.000,0.000,0.000,0.154,0.000,0.320,0.000,0.000,0.000,0.000,0.062,0.070,0.000,0.075,0.097,0.129,0.214,0.123,0.148,0.000,0.475,0.302,0.000,0.000,0.015,0.000,0.419,0.000
model.000.03.pdb,0.063,0.000,0.340,0.078,0.063,0.042,0.113,0.472,0.118,0.537,0.069,0.062,0.547,0.013,0.000,0.145,0.000,0.051,0.039,0.569,0.000,0.013,0.000,0.065,0.000,0.000,0.014,0.000
model.000.04.pdb,0.642,0.233,0.228,0.000,0.450,0.000,0.577,0.174,0.692,0.323,0.000,0.205,0.269,0.000,0.197,0.000,0.000,0.000,0.000,0.339,0.000,0.000,0.323,0.371,0.446,0.316,0.000,0.259
model.000.05.pdb,0.356,0.675,0.068,0.000,0.429,0.000,0.389,0.000,0.266,0.026,0.000,0.052,0.000,0.041,0.105,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.667,0.592,0.254,0.659,0.000,0.610
model.000.06.pdb,0.000,0.000,0.000,0.703,0.000,0.643,0.000,0.200,0.000,0.069,0.109,0.000,0.101,0.027,0.051,0.553,0.315,0.188,0.197,0.028,0.348,0.385,0.000,0.000,0.000,0.000,0.455,0.000
model.000.07.pdb,0.431,0.111,0.134,0.000,0.257,0.000,0.313,0.145,0.516,0.260,0.000,0.516,0.247,0.000,0.448,0.000,0.000,0.000,0.000,0.236,0.000,0.000,0.158,0.182,0.526,0.174,0.013,0.129
model.000.08.pdb,0.387,0.521,0.211,0.000,0.483,0.000,0.446,0.013,0.318,0.090,0.013,0.036,0.037,0.092,0.084,0.000,0.000,0.012,0.000,0.093,0.000,0.000,0.620,0.750,0.270,0.510,0.000,0.469
model.000.09.pdb,0.000,0.000,0.000,0.140,0.000,0.246,0.000,0.000,0.000,0.000,0.327,0.000,0.000,0.375,0.024,0.190,0.553,0.418,0.471,0.000,0.306,0.574,0.000,0.000,0.000,0.000,0.294,0.000
model.000.10.pdb,0.000,0.016,0.000,0.167,0.000,0.278,0.000,0.000,0.000,0.000,0.000,0.145,0.000,0.000,0.224,0.106,0.127,0.027,0.043,0.000,0.442,0.200,0.014,0.000,0.059,0.000,0.391,0.000
model.000.11.pdb,0.091,0.000,0.122,0.096,0.029,0.050,0.063,0.535,0.141,0.614,0.000,0.197,0.667,0.000,0.101,0.136,0.000,0.045,0.000,0.417,0.000,0.000,0.015,0.000,0.048,0.017,0.018,0.018
model.000.12.pdb,0.095,0.000,0.488,0.082,0.095,0.029,0.152,0.364,0.155,0.481,0.104,0.038,0.491,0.040,0.000,0.152,0.000,0.068,0.056,0.510,0.000,0.014,0.027,0.097,0.000,0.000,0.000,0.000
model.000.13.pdb,0.012,0.000,0.000,0.314,0.000,0.404,0.000,0.086,0.012,0.066,0.014,0.239,0.081,0.000,0.284,0.203,0.136,0.039,0.055,0.026,0.500,0.188,0.000,0.000,0.056,0.000,0.511,0.000
model.000.14.pdb,0.125,0.000,0.231,0.065,0.110,0.029,0.169,0.500,0.224,0.667,0.028,0.206,0.717,0.000,0.104,0.118,0.000,0.039,0.013,0.540,0.000,0.014,0.013,0.026,0.056,0.015,0.015,0.015
model.000.15.pdb,0.000,0.000,0.000,0.145,0.000,0.211,0.000,0.043,0.000,0.000,0.543,0.000,0.013,0.442,0.000,0.304,0.690,0.652,0.659,0.000,0.148,0.500,0.000,0.000,0.000,0.000,0.143,0.000
model.000.16.pdb,0.362,0.650,0.016,0.000,0.386,0.000,0.321,0.000,0.270,0.013,0.000,0.081,0.013,0.013,0.153,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.574,0.375,0.352,0.763,0.000,0.711
model.000.17.pdb,0.000,0.088,0.018,0.000,0.056,0.015,0.014,0.000,0.000,0.000,0.259,0.000,0.000,0.565,0.000,0.029,0.172,0.237,0.186,0.000,0.017,0.078,0.077,0.090,0.000,0.050,0.000,0.070
model.000.18.pdb,0.000,0.000,0.000,0.220,0.000,0.396,0.000,0.014,0.000,0.000,0.113,0.055,0.000,0.123,0.081,0.203,0.327,0.194,0.224,0.000,0.579,0.458,0.000,0.000,0.000,0.000,0.550,0.000
model.000.19.pdb,0.000,0.000,0.000,0.130,0.000,0.241,0.000,0.000,0.000,0.000,0.015,0.149,0.000,0.014,0.194,0.076,0.150,0.042,0.060,0.000,0.395,0.228,0.000,0.000,0.061,0.000,0.348,0.000
model.000.20.pdb,0.105,0.000,0.241,0.062,0.077,0.027,0.129,0.529,0.181,0.694,0.041,0.149,0.708,0.000,0.060,0.129,0.000,0.038,0.026,0.509,0.000,0.013,0.000,0.025,0.040,0.000,0.014,0.000
model.000.21.pdb,0.054,0.000,0.271,0.105,0.054,0.045,0.090,0.500,0.129,0.540,0.060,0.082,0.617,0.000,0.038,0.177,0.000,0.056,0.028,0.542,0.000,0.014,0.000,0.027,0.014,0.000,0.032,0.000
model.000.22.pdb,0.000,0.054,0.196,0.000,0.059,0.000,0.031,0.015,0.000,0.000,0.300,0.000,0.029,0.380,0.000,0.047,0.102,0.186,0.175,0.079,0.000,0.031,0.081,0.167,0.000,0.034,0.000,0.036
model.000.23.pdb,0.490,0.579,0.057,0.000,0.377,0.000,0.447,0.000,0.370,0.043,0.000,0.088,0.014,0.000,0.185,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.545,0.449,0.457,0.694,0.000,0.595
model.000.24.pdb,0.000,0.000,0.049,0.294,0.000,0.263,0.000,0.230,0.000,0.096,0.451,0.000,0.162,0.147,0.000,0.652,0.345,0.463,0.462,0.085,0.161,0.364,0.000,0.000,0.000,0.000,0.155,0.000
model.000.25.pdb,0.000,0.000,0.000,0.158,0.000,0.286,0.000,0.027,0.000,0.000,0.423,0.000,0.013,0.279,0.012,0.310,0.644,0.519,0.617,0.000,0.300,0.667,0.000,0.000,0.000,0.000,0.288,0.000
model.000.26.pdb,0.414,0.533,0.140,0.000,0.577,0.000,0.481,0.000,0.317,0.052,0.000,0.078,0.026,0.053,0.147,0.000,0.000,0.000,0.000,0.054,0.000,0.000,0.711,0.600,0.333,0.489,0.000,0.478
model.000.27.pdb,0.145,0.036,0.688,0.000,0.203,0.000,0.269,0.066,0.200,0.228,0.049,0.014,0.169,0.079,0.000,0.000,0.000,0.000,0.015,0.314,0.000,0.000,0.119,0.278,0.032,0.035,0.000,0.036
model.000.28.pdb,0.328,0.581,0.143,0.000,0.397,0.000,0.357,0.000,0.242,0.039,0.000,0.051,0.000,0.083,0.104,0.000,0.000,0.000,0.000,0.041,0.000,0.000,0.652,0.681,0.271,0.568,0.000,0.523
model.000.29.pdb,0.429,0.634,0.068,0.000,0.481,0.000,0.415,0.000,0.328,0.039,0.000,0.066,0.013,0.013,0.135,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.744,0.560,0.298,0.659,0.000,0.571
