 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb,model.000.28.pdb,model.000.29.pdb
model.000.00.pdb,0.063,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.273,0.509,0.096,0.000,0.649,0.000,0.448,0.000,0.064,0.092,0.014,0.517,0.500,0.000,0.525,0.000,0.188,0.069,0.027,0.375,0.179
model.000.01.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.651,0.489,0.000,0.000,0.266,0.000,0.164,0.000,0.000,0.000,0.000,0.415,0.578,0.016,0.453,0.000,0.000,0.000,0.103,0.730,0.222
model.000.02.pdb,0.175,0.036,0.000,0.000,0.049,0.000,0.000,0.077,0.118,0.015,0.245,0.432,0.000,0.203,0.000,0.136,0.137,0.245,0.269,0.037,0.291,0.081,0.000,0.177,0.000,0.300,0.463,0.000,0.053,0.170
model.000.03.pdb,0.169,0.341,0.438,0.176,0.200,0.244,0.159,0.261,0.229,0.000,0.000,0.048,0.583,0.000,0.135,0.000,0.200,0.097,0.115,0.289,0.000,0.000,0.052,0.000,0.694,0.047,0.069,0.000,0.000,0.000
model.000.04.pdb,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.355,0.537,0.081,0.000,0.424,0.000,0.254,0.000,0.078,0.078,0.000,0.544,0.527,0.000,0.667,0.000,0.155,0.085,0.069,0.481,0.317
model.000.05.pdb,0.119,0.250,0.471,0.347,0.220,0.442,0.254,0.208,0.182,0.000,0.000,0.029,0.465,0.000,0.275,0.000,0.138,0.057,0.072,0.231,0.000,0.000,0.136,0.000,0.595,0.014,0.030,0.015,0.000,0.000
model.000.06.pdb,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.274,0.625,0.136,0.000,0.508,0.000,0.339,0.014,0.114,0.130,0.000,0.627,0.436,0.000,0.604,0.000,0.203,0.125,0.029,0.358,0.254
model.000.07.pdb,0.733,0.511,0.130,0.000,0.136,0.016,0.038,0.523,0.478,0.000,0.055,0.451,0.269,0.100,0.000,0.147,0.500,0.426,0.540,0.558,0.038,0.000,0.000,0.050,0.273,0.407,0.420,0.000,0.000,0.000
model.000.08.pdb,0.133,0.027,0.012,0.000,0.000,0.000,0.000,0.014,0.014,0.197,0.474,0.174,0.000,0.727,0.000,0.545,0.041,0.135,0.167,0.042,0.483,0.393,0.000,0.517,0.000,0.297,0.130,0.000,0.279,0.127
model.000.09.pdb,0.596,0.304,0.122,0.000,0.053,0.000,0.012,0.263,0.259,0.000,0.188,0.549,0.127,0.240,0.000,0.297,0.370,0.640,0.640,0.309,0.160,0.064,0.000,0.171,0.087,0.688,0.490,0.000,0.027,0.040
