 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.027,0.386,0.102,0.179,0.065,0.029,0.000,0.095,0.015
model.000.01.pdb,0.373,0.258,0.000,0.015,0.000,0.133,0.194,0.512,0.029,0.232
model.000.02.pdb,0.039,0.061,0.108,0.056,0.149,0.085,0.037,0.000,0.096,0.040
model.000.03.pdb,0.000,0.027,0.676,0.100,0.136,0.063,0.058,0.000,0.061,0.015
model.000.04.pdb,0.380,0.242,0.016,0.000,0.000,0.155,0.237,0.333,0.000,0.214
model.000.05.pdb,0.000,0.000,0.240,0.179,0.196,0.000,0.000,0.000,0.129,0.000
model.000.06.pdb,0.000,0.000,0.235,0.218,0.283,0.000,0.000,0.000,0.183,0.000
model.000.07.pdb,0.119,0.137,0.000,0.091,0.014,0.000,0.068,0.458,0.101,0.121
model.000.08.pdb,0.000,0.000,0.288,0.203,0.286,0.000,0.000,0.000,0.210,0.000
model.000.09.pdb,0.620,0.435,0.028,0.000,0.000,0.339,0.466,0.169,0.000,0.455
