 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.032,0.667,0.268,0.413,0.365,0.295,0.196,0.091,0.037,0.000
model.000.01.pdb,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.118,0.302
model.000.02.pdb,0.169,0.203,0.547,0.118,0.139,0.111,0.040,0.224,0.146,0.000
model.000.03.pdb,0.000,0.605,0.125,0.610,0.500,0.404,0.236,0.034,0.050,0.000
model.000.04.pdb,0.000,0.000,0.000,0.000,0.029,0.039,0.000,0.000,0.151,0.259
model.000.05.pdb,0.000,0.356,0.059,0.571,0.200,0.176,0.545,0.034,0.000,0.062
model.000.06.pdb,0.000,0.378,0.090,0.595,0.197,0.174,0.605,0.051,0.000,0.045
model.000.07.pdb,0.286,0.000,0.040,0.000,0.000,0.000,0.000,0.098,0.034,0.175
model.000.08.pdb,0.014,0.404,0.132,0.543,0.242,0.197,0.587,0.065,0.000,0.058
model.000.09.pdb,0.000,0.000,0.000,0.000,0.050,0.070,0.000,0.000,0.371,0.111
