 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.000,0.619,0.000,0.510,0.000,0.222,0.000,0.139
model.000.01.pdb,0.000,0.000,0.000,0.068,0.000,0.169,0.000,0.000,0.000,0.000
model.000.02.pdb,0.455,0.288,0.312,0.000,0.600,0.000,0.596,0.042,0.397,0.162
model.000.03.pdb,0.014,0.000,0.000,0.538,0.000,0.347,0.000,0.327,0.027,0.213
model.000.04.pdb,0.688,0.214,0.231,0.000,0.421,0.000,0.551,0.119,0.745,0.270
model.000.05.pdb,0.179,0.117,0.000,0.091,0.065,0.098,0.080,0.033,0.176,0.065
model.000.06.pdb,0.027,0.000,0.000,0.386,0.000,0.288,0.000,0.207,0.041,0.172
model.000.07.pdb,0.065,0.000,0.581,0.000,0.082,0.000,0.130,0.111,0.117,0.226
model.000.08.pdb,0.000,0.000,0.075,0.283,0.000,0.226,0.000,0.545,0.014,0.259
model.000.09.pdb,0.121,0.000,0.188,0.093,0.088,0.032,0.150,0.417,0.210,0.622
