 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.044,0.000,0.110,0.153,0.114,0.000,0.013,0.101,0.185,0.000
model.000.01.pdb,0.000,0.000,0.000,0.345,0.000,0.000,0.000,0.000,0.043,0.000
model.000.02.pdb,0.115,0.395,0.114,0.000,0.087,0.396,0.210,0.159,0.000,0.444
model.000.03.pdb,0.086,0.000,0.197,0.071,0.167,0.000,0.061,0.153,0.190,0.000
model.000.04.pdb,0.190,0.220,0.234,0.000,0.118,0.308,0.382,0.175,0.000,0.222
model.000.05.pdb,0.012,0.000,0.078,0.000,0.000,0.117,0.080,0.000,0.000,0.000
model.000.06.pdb,0.049,0.000,0.138,0.027,0.076,0.000,0.060,0.078,0.094,0.000
model.000.07.pdb,0.385,0.394,0.208,0.048,0.326,0.019,0.220,0.439,0.200,0.275
model.000.08.pdb,0.240,0.019,0.309,0.104,0.408,0.000,0.113,0.340,0.333,0.000
model.000.09.pdb,0.442,0.125,0.565,0.000,0.353,0.017,0.438,0.367,0.046,0.035
