 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.667,0.000,0.440,0.235,0.237,0.393,0.000,0.415,0.056,0.063
model.000.01.pdb,0.119,0.000,0.015,0.274,0.478,0.141,0.000,0.186,0.000,0.000
model.000.02.pdb,0.000,0.527,0.000,0.000,0.000,0.000,0.420,0.000,0.177,0.246
model.000.03.pdb,0.500,0.000,0.455,0.188,0.140,0.346,0.000,0.367,0.097,0.101
model.000.04.pdb,0.013,0.574,0.000,0.000,0.000,0.000,0.241,0.000,0.156,0.519
model.000.05.pdb,0.247,0.120,0.035,0.000,0.072,0.022,0.000,0.083,0.000,0.266
model.000.06.pdb,0.622,0.000,0.250,0.100,0.100,0.183,0.000,0.236,0.030,0.132
model.000.07.pdb,0.000,0.094,0.078,0.031,0.000,0.017,0.213,0.018,0.553,0.000
model.000.08.pdb,0.203,0.000,0.537,0.230,0.085,0.353,0.000,0.245,0.241,0.042
model.000.09.pdb,0.145,0.114,0.125,0.027,0.000,0.095,0.066,0.015,0.314,0.316
