 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.549,0.673,0.043,0.000,0.000,0.571,0.766,0.088,0.000,0.660
model.000.01.pdb,0.467,0.451,0.000,0.000,0.000,0.231,0.296,0.326,0.000,0.444
model.000.02.pdb,0.107,0.077,0.222,0.000,0.000,0.176,0.245,0.000,0.000,0.130
model.000.03.pdb,0.000,0.000,0.118,0.220,0.409,0.000,0.000,0.000,0.204,0.000
model.000.04.pdb,0.612,0.500,0.043,0.000,0.000,0.426,0.537,0.156,0.000,0.472
model.000.05.pdb,0.000,0.000,0.068,0.367,0.581,0.000,0.000,0.000,0.340,0.000
model.000.06.pdb,0.542,0.491,0.081,0.000,0.000,0.500,0.696,0.095,0.000,0.553
model.000.07.pdb,0.014,0.066,0.610,0.045,0.076,0.109,0.100,0.000,0.014,0.059
model.000.08.pdb,0.429,0.571,0.123,0.000,0.000,0.696,0.714,0.027,0.000,0.549
model.000.09.pdb,0.099,0.117,0.479,0.000,0.000,0.246,0.262,0.000,0.000,0.149
