 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.000,0.294,0.241,0.000,0.000,0.067,0.373,0.000
model.000.01.pdb,0.000,0.000,0.390,0.089,0.148,0.033,0.000,0.000,0.048,0.000
model.000.02.pdb,0.000,0.000,0.079,0.161,0.327,0.028,0.000,0.000,0.188,0.000
model.000.03.pdb,0.000,0.000,0.442,0.100,0.155,0.015,0.000,0.000,0.061,0.000
model.000.04.pdb,0.027,0.064,0.700,0.000,0.014,0.177,0.179,0.000,0.000,0.088
model.000.05.pdb,0.078,0.123,0.551,0.000,0.000,0.246,0.225,0.000,0.000,0.155
model.000.06.pdb,0.000,0.000,0.143,0.417,0.438,0.000,0.000,0.000,0.358,0.000
model.000.07.pdb,0.000,0.000,0.000,0.326,0.409,0.000,0.000,0.000,0.383,0.000
model.000.08.pdb,0.426,0.532,0.096,0.000,0.000,0.574,0.655,0.038,0.000,0.509
model.000.09.pdb,0.076,0.068,0.000,0.153,0.062,0.000,0.027,0.347,0.161,0.029
