 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.000,0.000,0.000,0.000,0.521,0.000,0.000,0.101,0.111
model.000.01.pdb,0.000,1.000,0.327,0.816,0.306,0.000,0.189,0.447,0.175,0.300
model.000.02.pdb,0.000,0.327,1.000,0.298,0.500,0.000,0.360,0.404,0.026,0.051
model.000.03.pdb,0.000,0.816,0.298,1.000,0.250,0.000,0.185,0.353,0.172,0.317
model.000.04.pdb,0.000,0.306,0.500,0.250,1.000,0.000,0.513,0.600,0.061,0.057
model.000.05.pdb,0.521,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.013,0.095
model.000.06.pdb,0.000,0.189,0.360,0.185,0.513,0.000,1.000,0.537,0.030,0.014
model.000.07.pdb,0.000,0.447,0.404,0.353,0.600,0.000,0.537,1.000,0.088,0.130
model.000.08.pdb,0.101,0.175,0.026,0.172,0.061,0.013,0.030,0.088,1.000,0.355
model.000.09.pdb,0.111,0.300,0.051,0.317,0.057,0.095,0.014,0.130,0.355,1.000
