 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.203,0.000,0.053,0.045,0.000,0.273,0.000,0.014,0.053
model.000.01.pdb,0.175,0.000,0.571,0.418,0.136,0.532,0.000,0.353,0.207,0.000
model.000.02.pdb,0.197,0.036,0.365,0.153,0.059,0.262,0.028,0.175,0.293,0.169
model.000.03.pdb,0.154,0.000,0.457,0.436,0.097,0.521,0.000,0.296,0.203,0.000
model.000.04.pdb,0.400,0.000,0.476,0.194,0.125,0.333,0.000,0.327,0.158,0.104
model.000.05.pdb,0.000,0.254,0.000,0.013,0.000,0.000,0.479,0.000,0.106,0.066
model.000.06.pdb,0.408,0.000,0.356,0.090,0.069,0.196,0.000,0.208,0.102,0.141
model.000.07.pdb,0.370,0.000,0.650,0.279,0.155,0.469,0.000,0.468,0.111,0.083
model.000.08.pdb,0.143,0.000,0.108,0.500,0.521,0.279,0.000,0.271,0.000,0.000
model.000.09.pdb,0.024,0.011,0.134,0.517,0.203,0.281,0.083,0.197,0.096,0.000
