 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.000,0.062,0.000,0.000,0.052,0.000,0.000,0.426
model.000.01.pdb,0.271,0.354,0.154,0.082,0.600,0.051,0.317,0.488,0.512,0.000
model.000.02.pdb,0.739,0.591,0.159,0.014,0.167,0.031,0.077,0.533,0.489,0.000
model.000.03.pdb,0.267,0.320,0.118,0.081,0.622,0.050,0.333,0.477,0.467,0.000
model.000.04.pdb,0.420,0.649,0.340,0.069,0.153,0.137,0.071,0.429,0.419,0.000
model.000.05.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.345
model.000.06.pdb,0.321,0.579,0.429,0.052,0.081,0.118,0.014,0.372,0.304,0.000
model.000.07.pdb,0.339,0.585,0.389,0.100,0.263,0.127,0.145,0.455,0.413,0.000
model.000.08.pdb,0.000,0.029,0.174,0.600,0.345,0.333,0.604,0.014,0.014,0.013
model.000.09.pdb,0.024,0.056,0.049,0.188,0.464,0.075,0.561,0.088,0.119,0.024
