 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.279,0.273,0.089,0.279,0.015,0.014,0.113,0.068,0.033
model.000.01.pdb,0.279,1.000,0.036,0.132,0.060,0.025,0.089,0.000,0.215,0.238
model.000.02.pdb,0.273,0.036,1.000,0.030,0.537,0.072,0.013,0.426,0.000,0.000
model.000.03.pdb,0.089,0.132,0.030,1.000,0.059,0.000,0.000,0.000,0.512,0.386
model.000.04.pdb,0.279,0.060,0.537,0.059,1.000,0.000,0.000,0.209,0.018,0.000
model.000.05.pdb,0.015,0.025,0.072,0.000,0.000,1.000,0.542,0.125,0.000,0.000
model.000.06.pdb,0.014,0.089,0.013,0.000,0.000,0.542,1.000,0.031,0.000,0.000
model.000.07.pdb,0.113,0.000,0.426,0.000,0.209,0.125,0.031,1.000,0.000,0.000
model.000.08.pdb,0.068,0.215,0.000,0.512,0.018,0.000,0.000,0.000,1.000,0.703
model.000.09.pdb,0.033,0.238,0.000,0.386,0.000,0.000,0.000,0.000,0.703,1.000
