 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.409,0.317,0.440,0.000,0.255,0.130,0.725,0.314,0.000,0.229
model.000.01.pdb,0.083,0.094,0.143,0.000,0.037,0.400,0.232,0.051,0.000,0.119
model.000.02.pdb,0.628,0.265,0.569,0.012,0.638,0.000,0.375,0.667,0.152,0.175
model.000.03.pdb,0.000,0.262,0.000,0.000,0.000,0.277,0.062,0.065,0.000,0.415
model.000.04.pdb,0.486,0.424,0.327,0.000,0.476,0.038,0.348,0.500,0.089,0.238
model.000.05.pdb,0.031,0.000,0.086,0.099,0.058,0.000,0.014,0.060,0.091,0.000
model.000.06.pdb,0.014,0.000,0.053,0.065,0.013,0.000,0.027,0.000,0.041,0.000
model.000.07.pdb,0.372,0.062,0.353,0.060,0.535,0.000,0.138,0.422,0.300,0.000
model.000.08.pdb,0.000,0.078,0.000,0.000,0.000,0.512,0.045,0.015,0.000,0.176
model.000.09.pdb,0.000,0.019,0.000,0.000,0.000,0.564,0.015,0.000,0.000,0.113
