 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.731,0.000,0.000,0.000,0.000,0.262,0.000,0.097,0.475
model.000.01.pdb,0.000,0.426,0.000,0.000,0.000,0.000,0.164,0.000,0.000,0.175
model.000.02.pdb,0.000,0.217,0.036,0.000,0.000,0.000,0.333,0.000,0.550,0.094
model.000.03.pdb,0.511,0.000,0.579,0.241,0.271,0.500,0.000,0.575,0.067,0.000
model.000.04.pdb,0.000,0.636,0.000,0.000,0.000,0.000,0.481,0.000,0.097,0.279
model.000.05.pdb,0.480,0.000,0.467,0.322,0.457,0.469,0.000,0.683,0.029,0.000
model.000.06.pdb,0.000,0.667,0.000,0.000,0.000,0.000,0.385,0.000,0.156,0.344
model.000.07.pdb,0.185,0.050,0.327,0.125,0.029,0.230,0.029,0.143,0.304,0.174
model.000.08.pdb,0.000,0.655,0.000,0.000,0.000,0.000,0.300,0.000,0.159,0.544
model.000.09.pdb,0.108,0.171,0.121,0.012,0.000,0.067,0.169,0.000,0.418,0.284
