 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.063,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.273
model.000.01.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.651
model.000.02.pdb,0.175,0.036,0.000,0.000,0.049,0.000,0.000,0.077,0.118,0.015
model.000.03.pdb,0.169,0.341,0.438,0.176,0.200,0.244,0.159,0.261,0.229,0.000
model.000.04.pdb,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.355
model.000.05.pdb,0.119,0.250,0.471,0.347,0.220,0.442,0.254,0.208,0.182,0.000
model.000.06.pdb,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.274
model.000.07.pdb,0.733,0.511,0.130,0.000,0.136,0.016,0.038,0.523,0.478,0.000
model.000.08.pdb,0.133,0.027,0.012,0.000,0.000,0.000,0.000,0.014,0.014,0.197
model.000.09.pdb,0.596,0.304,0.122,0.000,0.053,0.000,0.012,0.263,0.259,0.000
