 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.213,0.585,0.092,0.564,0.200,0.000,0.000,0.042
model.000.01.pdb,0.468,0.844,0.278,0.017,0.179,0.057,0.074,0.611,0.553,0.000
model.000.02.pdb,0.111,0.250,0.905,0.268,0.069,0.396,0.105,0.150,0.111,0.000
model.000.03.pdb,0.451,0.524,0.156,0.016,0.340,0.034,0.147,0.750,0.882,0.000
model.000.04.pdb,0.702,0.429,0.143,0.000,0.116,0.000,0.024,0.380,0.400,0.000
model.000.05.pdb,0.660,0.300,0.100,0.000,0.104,0.000,0.022,0.328,0.345,0.000
model.000.06.pdb,0.169,0.222,0.118,0.196,0.780,0.125,0.481,0.327,0.320,0.000
model.000.07.pdb,0.000,0.035,0.380,0.538,0.119,1.000,0.217,0.036,0.017,0.000
model.000.08.pdb,0.122,0.038,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.211
model.000.09.pdb,0.000,0.000,0.000,0.098,0.106,0.033,0.250,0.000,0.000,0.169
