 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.490,0.016,0.354,0.000,0.000,0.000,0.373,0.449,0.000
model.000.01.pdb,0.490,1.000,0.117,0.452,0.000,0.000,0.000,0.600,0.587,0.000
model.000.02.pdb,0.016,0.117,1.000,0.013,0.405,0.000,0.000,0.109,0.000,0.000
model.000.03.pdb,0.354,0.452,0.013,1.000,0.042,0.037,0.000,0.424,0.574,0.000
model.000.04.pdb,0.000,0.000,0.405,0.042,1.000,0.000,0.000,0.056,0.000,0.019
model.000.05.pdb,0.000,0.000,0.000,0.037,0.000,1.000,0.179,0.000,0.048,0.051
model.000.06.pdb,0.000,0.000,0.000,0.000,0.000,0.179,1.000,0.000,0.000,0.600
model.000.07.pdb,0.373,0.600,0.109,0.424,0.056,0.000,0.000,1.000,0.523,0.000
model.000.08.pdb,0.449,0.587,0.000,0.574,0.000,0.048,0.000,0.523,1.000,0.000
model.000.09.pdb,0.000,0.000,0.000,0.000,0.019,0.051,0.600,0.000,0.000,1.000
