 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.491,0.000,0.000,0.026,0.373,0.542,0.000,0.192,0.600,0.000
model.000.01.pdb,0.688,0.000,0.000,0.127,0.627,0.407,0.000,0.328,0.491,0.000
model.000.02.pdb,0.094,0.066,0.000,0.605,0.161,0.000,0.125,0.099,0.060,0.000
model.000.03.pdb,0.525,0.060,0.000,0.022,0.439,0.375,0.000,0.485,0.362,0.000
model.000.04.pdb,0.000,0.196,0.000,0.275,0.079,0.000,0.204,0.121,0.000,0.000
model.000.05.pdb,0.014,0.113,0.391,0.000,0.000,0.095,0.063,0.000,0.027,0.190
model.000.06.pdb,0.000,0.164,0.375,0.000,0.000,0.000,0.302,0.000,0.000,0.651
model.000.07.pdb,0.471,0.000,0.000,0.104,0.674,0.250,0.000,0.482,0.310,0.000
model.000.08.pdb,0.583,0.000,0.000,0.000,0.500,0.511,0.000,0.292,0.481,0.000
model.000.09.pdb,0.000,0.155,0.240,0.000,0.000,0.000,0.383,0.000,0.000,0.457
