 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.030,0.186,0.595,0.051,0.222,0.000,0.000,0.185,0.032,0.000
model.000.01.pdb,0.224,0.240,0.244,0.072,0.022,0.000,0.000,0.191,0.075,0.000
model.000.02.pdb,0.040,0.176,0.500,0.095,0.354,0.000,0.000,0.233,0.071,0.000
model.000.03.pdb,0.000,0.000,0.014,0.000,0.015,0.071,0.571,0.000,0.000,0.553
model.000.04.pdb,0.014,0.132,0.650,0.023,0.292,0.000,0.014,0.109,0.000,0.046
model.000.05.pdb,0.489,0.500,0.000,0.558,0.000,0.051,0.000,0.370,0.730,0.000
model.000.06.pdb,0.136,0.328,0.294,0.187,0.148,0.000,0.000,0.420,0.180,0.000
model.000.07.pdb,0.058,0.154,0.684,0.036,0.304,0.000,0.000,0.150,0.014,0.000
model.000.08.pdb,0.000,0.000,0.161,0.000,0.130,0.000,0.203,0.000,0.000,0.340
model.000.09.pdb,0.327,0.264,0.120,0.129,0.000,0.000,0.000,0.196,0.127,0.000
