 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.111,0.500,0.057,0.512,0.000,0.014,0.121,0.014,0.029
model.000.01.pdb,0.000,0.000,0.341,0.038,0.719,0.000,0.048,0.032,0.000,0.089
model.000.02.pdb,0.000,0.000,0.095,0.057,0.226,0.074,0.190,0.000,0.000,0.183
model.000.03.pdb,0.000,0.000,0.000,0.000,0.000,0.255,0.650,0.000,0.000,0.378
model.000.04.pdb,0.000,0.000,0.138,0.000,0.127,0.000,0.385,0.000,0.000,0.478
model.000.05.pdb,0.000,0.000,0.000,0.000,0.000,0.224,0.378,0.000,0.000,0.289
model.000.06.pdb,0.000,0.000,0.028,0.000,0.030,0.085,0.580,0.000,0.000,0.562
model.000.07.pdb,0.000,0.000,0.415,0.000,0.543,0.000,0.049,0.016,0.000,0.111
model.000.08.pdb,0.000,0.000,0.475,0.000,0.486,0.000,0.048,0.016,0.000,0.109
model.000.09.pdb,0.418,0.333,0.000,0.353,0.000,0.197,0.000,0.213,0.471,0.000
