 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.780,0.000,0.000,0.000,0.000,0.310,0.000,0.130,0.387
model.000.01.pdb,0.711,0.000,0.211,0.125,0.250,0.190,0.000,0.333,0.014,0.095
model.000.02.pdb,0.263,0.000,0.067,0.152,0.548,0.167,0.000,0.241,0.000,0.000
model.000.03.pdb,0.095,0.086,0.197,0.049,0.000,0.113,0.136,0.041,0.638,0.133
model.000.04.pdb,0.012,0.596,0.000,0.000,0.000,0.000,0.238,0.000,0.176,0.571
model.000.05.pdb,0.000,0.448,0.000,0.000,0.000,0.000,0.291,0.000,0.028,0.174
model.000.06.pdb,0.500,0.000,0.595,0.339,0.360,0.553,0.000,0.707,0.076,0.000
model.000.07.pdb,0.071,0.347,0.000,0.000,0.000,0.000,0.135,0.000,0.089,0.649
model.000.08.pdb,0.000,0.525,0.000,0.000,0.000,0.000,0.481,0.000,0.129,0.208
model.000.09.pdb,0.167,0.000,0.078,0.446,0.489,0.250,0.000,0.263,0.000,0.000
