 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.469,0.170,0.029,0.000,0.131,0.000,0.027,0.245,0.319,0.000
model.000.01.pdb,0.123,0.019,0.000,0.000,0.000,0.000,0.000,0.019,0.038,0.049
model.000.02.pdb,0.640,0.309,0.093,0.000,0.097,0.000,0.012,0.315,0.309,0.000
model.000.03.pdb,0.024,0.057,0.120,0.364,0.500,0.224,0.833,0.090,0.088,0.000
model.000.04.pdb,0.580,0.278,0.053,0.000,0.206,0.000,0.064,0.417,0.468,0.000
model.000.05.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.511
model.000.06.pdb,0.362,0.113,0.026,0.000,0.013,0.000,0.000,0.097,0.095,0.026
model.000.07.pdb,0.481,0.288,0.055,0.000,0.121,0.000,0.025,0.347,0.367,0.000
model.000.08.pdb,0.164,0.214,0.114,0.095,0.562,0.066,0.344,0.314,0.360,0.000
model.000.09.pdb,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.131
