 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.125,0.000,0.304,0.071,0.228,0.000,0.148,0.236,0.211,0.000,0.000,0.000,0.000,0.000,0.000
model.000.01.pdb,0.000,0.118,0.000,0.041,0.000,0.306,0.043,0.014,0.000,0.240,0.273,0.212,0.578,0.312,0.302
model.000.02.pdb,0.028,0.000,0.105,0.024,0.025,0.028,0.066,0.039,0.053,0.000,0.026,0.000,0.000,0.014,0.000
model.000.03.pdb,0.306,0.098,0.423,0.070,0.449,0.000,0.203,0.468,0.250,0.017,0.000,0.000,0.000,0.000,0.000
model.000.04.pdb,0.032,0.333,0.042,0.013,0.029,0.235,0.109,0.095,0.000,0.488,0.232,0.265,0.429,0.292,0.308
model.000.05.pdb,0.185,0.000,0.138,0.226,0.340,0.000,0.014,0.232,0.628,0.000,0.000,0.088,0.000,0.000,0.062
model.000.06.pdb,0.182,0.000,0.136,0.262,0.333,0.000,0.014,0.207,0.690,0.000,0.000,0.033,0.000,0.000,0.015
model.000.07.pdb,0.000,0.000,0.000,0.038,0.000,0.169,0.000,0.000,0.000,0.015,0.172,0.030,0.333,0.193,0.138
model.000.08.pdb,0.169,0.000,0.179,0.286,0.288,0.000,0.027,0.213,0.596,0.000,0.000,0.047,0.000,0.000,0.028
model.000.09.pdb,0.056,0.308,0.062,0.000,0.051,0.471,0.153,0.141,0.025,0.460,0.473,0.213,0.344,0.423,0.194
model.000.10.pdb,0.000,0.000,0.000,0.620,0.027,0.000,0.000,0.000,0.271,0.000,0.000,0.117,0.000,0.000,0.106
model.000.11.pdb,0.056,0.000,0.089,0.443,0.137,0.000,0.012,0.095,0.367,0.000,0.000,0.088,0.000,0.000,0.081
model.000.12.pdb,0.062,0.000,0.099,0.356,0.190,0.000,0.000,0.141,0.480,0.000,0.000,0.048,0.000,0.000,0.043
model.000.13.pdb,0.255,0.037,0.396,0.086,0.365,0.000,0.164,0.353,0.273,0.000,0.000,0.000,0.000,0.000,0.000
model.000.14.pdb,0.127,0.000,0.263,0.042,0.190,0.000,0.095,0.218,0.153,0.000,0.000,0.000,0.000,0.000,0.000
