 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.000,0.133,0.034,0.280,0.000,0.175,0.000,0.000,0.207,0.000,0.000,0.045,0.000,0.129
model.000.01.pdb,0.000,0.000,0.000,0.000,0.000,0.396,0.533,0.000,0.000,0.327,0.000,0.000,0.600,0.000,0.000
model.000.02.pdb,0.542,0.551,0.102,0.313,0.000,0.000,0.000,0.429,0.392,0.000,0.340,0.617,0.000,0.385,0.098
model.000.03.pdb,0.000,0.000,0.200,0.037,0.514,0.000,0.100,0.032,0.000,0.148,0.000,0.000,0.017,0.000,0.192
model.000.04.pdb,0.364,0.571,0.119,0.483,0.051,0.000,0.000,0.732,0.440,0.000,0.214,0.375,0.000,0.352,0.172
model.000.05.pdb,0.069,0.067,0.000,0.305,0.081,0.158,0.023,0.127,0.154,0.012,0.117,0.080,0.118,0.152,0.049
model.000.06.pdb,0.000,0.000,0.109,0.077,0.357,0.000,0.047,0.031,0.000,0.086,0.000,0.000,0.016,0.000,0.189
model.000.07.pdb,0.091,0.127,0.342,0.014,0.068,0.000,0.000,0.077,0.018,0.000,0.000,0.127,0.000,0.036,0.233
model.000.08.pdb,0.000,0.000,0.405,0.000,0.447,0.000,0.083,0.016,0.000,0.151,0.000,0.000,0.000,0.000,0.271
model.000.09.pdb,0.030,0.148,0.439,0.108,0.486,0.000,0.000,0.231,0.066,0.000,0.000,0.014,0.000,0.048,0.564
model.000.10.pdb,0.000,0.000,0.349,0.000,0.317,0.000,0.123,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.132
model.000.11.pdb,0.000,0.000,0.225,0.075,0.607,0.000,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.308
model.000.12.pdb,0.000,0.000,0.000,0.000,0.019,0.173,0.615,0.000,0.000,0.475,0.000,0.000,0.381,0.000,0.000
model.000.13.pdb,0.000,0.000,0.280,0.000,0.395,0.000,0.167,0.015,0.000,0.269,0.000,0.000,0.000,0.000,0.179
model.000.14.pdb,0.349,0.582,0.152,0.478,0.091,0.000,0.000,0.528,0.464,0.000,0.279,0.381,0.000,0.383,0.258
