 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.667,0.119,0.000,0.500,0.013,0.247,0.622,0.000,0.203,0.145,0.186,0.298,0.232,0.310,0.000
model.000.01.pdb,0.000,0.000,0.527,0.000,0.574,0.120,0.000,0.094,0.000,0.114,0.000,0.000,0.000,0.000,0.532
model.000.02.pdb,0.440,0.015,0.000,0.455,0.000,0.035,0.250,0.078,0.537,0.125,0.590,0.152,0.173,0.619,0.000
model.000.03.pdb,0.235,0.274,0.000,0.188,0.000,0.000,0.100,0.031,0.230,0.027,0.321,0.048,0.327,0.379,0.000
model.000.04.pdb,0.237,0.478,0.000,0.140,0.000,0.072,0.100,0.000,0.085,0.000,0.105,0.000,0.722,0.169,0.000
model.000.05.pdb,0.393,0.141,0.000,0.346,0.000,0.022,0.183,0.017,0.353,0.095,0.478,0.113,0.367,0.574,0.000
model.000.06.pdb,0.000,0.000,0.420,0.000,0.241,0.000,0.000,0.213,0.000,0.066,0.000,0.000,0.000,0.000,0.206
model.000.07.pdb,0.415,0.186,0.000,0.367,0.000,0.083,0.236,0.018,0.245,0.015,0.300,0.077,0.391,0.420,0.000
model.000.08.pdb,0.056,0.000,0.177,0.097,0.156,0.000,0.030,0.553,0.241,0.314,0.269,0.096,0.000,0.161,0.200
model.000.09.pdb,0.063,0.000,0.246,0.101,0.519,0.266,0.132,0.000,0.042,0.316,0.000,0.182,0.000,0.039,0.559
model.000.10.pdb,0.222,0.385,0.000,0.131,0.000,0.022,0.077,0.000,0.115,0.000,0.196,0.000,0.650,0.237,0.000
model.000.11.pdb,0.172,0.000,0.059,0.288,0.141,0.058,0.193,0.160,0.404,0.650,0.275,0.333,0.000,0.268,0.221
model.000.12.pdb,0.159,0.471,0.000,0.091,0.000,0.011,0.043,0.016,0.109,0.000,0.186,0.000,0.533,0.206,0.000
model.000.13.pdb,0.200,0.000,0.000,0.289,0.000,0.000,0.157,0.225,0.583,0.163,0.600,0.175,0.038,0.378,0.000
model.000.14.pdb,0.051,0.000,0.231,0.071,0.528,0.253,0.118,0.119,0.042,0.298,0.000,0.164,0.000,0.039,0.517
