 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.209,0.000,0.054,0.327,0.129,0.043,0.213,0.164,0.469,0.565,0.315,0.319,0.029,0.328,0.219
model.000.01.pdb,0.420,0.000,0.000,0.575,0.030,0.087,0.391,0.059,0.550,0.378,0.386,0.529,0.071,0.523,0.068
model.000.02.pdb,0.620,0.134,0.000,0.431,0.013,0.276,0.644,0.000,0.161,0.161,0.145,0.348,0.228,0.283,0.023
model.000.03.pdb,0.180,0.558,0.000,0.085,0.000,0.073,0.083,0.000,0.033,0.000,0.051,0.000,0.694,0.115,0.000
model.000.04.pdb,0.200,0.159,0.000,0.167,0.000,0.000,0.044,0.151,0.302,0.045,0.447,0.017,0.288,0.370,0.000
model.000.05.pdb,0.214,0.312,0.000,0.154,0.000,0.120,0.173,0.000,0.035,0.000,0.055,0.000,0.500,0.103,0.000
model.000.06.pdb,0.149,0.379,0.000,0.085,0.000,0.010,0.026,0.062,0.134,0.000,0.210,0.000,0.396,0.227,0.000
model.000.07.pdb,0.296,0.000,0.000,0.378,0.015,0.024,0.235,0.152,0.794,0.271,0.538,0.308,0.054,0.535,0.040
model.000.08.pdb,0.268,0.000,0.000,0.340,0.015,0.012,0.185,0.227,0.722,0.292,0.649,0.268,0.053,0.523,0.039
model.000.09.pdb,0.000,0.056,0.279,0.000,0.197,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.236
model.000.10.pdb,0.000,0.000,0.571,0.000,0.472,0.091,0.000,0.125,0.000,0.109,0.000,0.000,0.000,0.000,0.492
model.000.11.pdb,0.100,0.000,0.138,0.131,0.172,0.011,0.111,0.395,0.283,0.478,0.218,0.184,0.000,0.197,0.232
model.000.12.pdb,0.605,0.032,0.000,0.649,0.000,0.090,0.442,0.000,0.395,0.176,0.372,0.282,0.208,0.512,0.000
model.000.13.pdb,0.022,0.000,0.375,0.037,0.679,0.244,0.077,0.104,0.000,0.171,0.000,0.075,0.000,0.000,0.623
model.000.14.pdb,0.109,0.650,0.000,0.068,0.000,0.036,0.049,0.000,0.016,0.000,0.034,0.000,0.500,0.081,0.000
