 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.566,0.000,0.000,0.000,0.000,0.296,0.000,0.029,0.356,0.000,0.029,0.000,0.000,0.234
model.000.01.pdb,0.000,0.655,0.000,0.000,0.000,0.000,0.219,0.000,0.039,0.443,0.000,0.068,0.000,0.000,0.318
model.000.02.pdb,0.150,0.056,0.245,0.074,0.000,0.155,0.068,0.067,0.444,0.106,0.000,0.600,0.015,0.341,0.161
model.000.03.pdb,0.159,0.000,0.182,0.510,0.571,0.392,0.000,0.388,0.000,0.000,0.667,0.000,0.738,0.073,0.000
model.000.04.pdb,0.321,0.000,0.375,0.472,0.457,0.565,0.000,0.683,0.000,0.000,0.614,0.000,0.480,0.132,0.000
model.000.05.pdb,0.000,0.473,0.000,0.000,0.000,0.000,0.236,0.000,0.111,0.560,0.000,0.169,0.000,0.000,0.453
model.000.06.pdb,0.000,0.706,0.000,0.000,0.000,0.000,0.276,0.000,0.169,0.474,0.000,0.119,0.000,0.000,0.456
model.000.07.pdb,0.000,0.164,0.000,0.042,0.016,0.000,0.083,0.000,0.000,0.014,0.015,0.000,0.029,0.000,0.000
model.000.08.pdb,0.167,0.000,0.169,0.500,0.628,0.389,0.000,0.385,0.000,0.000,0.762,0.000,0.833,0.033,0.000
model.000.09.pdb,0.000,0.577,0.000,0.000,0.000,0.000,0.169,0.000,0.060,0.436,0.000,0.077,0.000,0.000,0.300
model.000.10.pdb,0.042,0.093,0.000,0.026,0.172,0.000,0.015,0.014,0.000,0.000,0.075,0.000,0.119,0.000,0.000
model.000.11.pdb,0.164,0.000,0.489,0.519,0.268,0.551,0.000,0.377,0.194,0.000,0.442,0.177,0.393,0.422,0.000
model.000.12.pdb,0.000,0.500,0.000,0.000,0.000,0.000,0.224,0.000,0.014,0.227,0.000,0.000,0.000,0.000,0.127
model.000.13.pdb,0.000,0.483,0.000,0.000,0.000,0.000,0.462,0.000,0.083,0.178,0.000,0.000,0.000,0.000,0.133
model.000.14.pdb,0.096,0.000,0.309,0.615,0.217,0.393,0.014,0.316,0.101,0.000,0.400,0.071,0.455,0.245,0.000
