 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.045,0.000,0.000,0.015,0.033,0.000,0.033,0.031,0.352,0.055,0.194,0.000,0.000,0.031,0.159
model.000.01.pdb,0.000,0.378,0.558,0.340,0.611,0.000,0.541,0.632,0.030,0.059,0.210,0.377,0.000,0.000,0.172
model.000.02.pdb,0.000,0.106,0.130,0.072,0.302,0.000,0.388,0.327,0.162,0.037,0.536,0.091,0.000,0.000,0.519
model.000.03.pdb,0.000,0.558,0.500,0.511,0.432,0.000,0.292,0.396,0.028,0.149,0.111,0.660,0.000,0.000,0.090
model.000.04.pdb,0.000,0.197,0.529,0.194,0.327,0.027,0.333,0.281,0.000,0.012,0.147,0.585,0.091,0.000,0.145
model.000.05.pdb,0.000,0.157,0.483,0.155,0.242,0.024,0.246,0.191,0.000,0.022,0.146,0.533,0.127,0.000,0.145
model.000.06.pdb,0.000,0.643,0.213,0.628,0.204,0.000,0.123,0.327,0.293,0.386,0.038,0.270,0.000,0.000,0.014
model.000.07.pdb,0.000,0.051,0.031,0.050,0.137,0.000,0.118,0.127,0.333,0.075,0.210,0.014,0.000,0.000,0.193
model.000.08.pdb,0.087,0.000,0.084,0.000,0.025,0.158,0.067,0.024,0.000,0.000,0.140,0.079,0.273,0.133,0.152
model.000.09.pdb,0.340,0.045,0.000,0.061,0.000,0.263,0.000,0.000,0.250,0.339,0.000,0.000,0.115,0.255,0.000
model.000.10.pdb,0.053,0.328,0.051,0.345,0.058,0.013,0.014,0.132,0.596,0.582,0.011,0.114,0.000,0.027,0.025
model.000.11.pdb,0.000,0.185,0.608,0.182,0.281,0.013,0.286,0.222,0.000,0.012,0.139,0.600,0.086,0.000,0.137
model.000.12.pdb,0.014,0.241,0.453,0.237,0.236,0.071,0.196,0.200,0.000,0.051,0.049,0.566,0.145,0.014,0.054
model.000.13.pdb,0.000,0.409,0.634,0.370,0.611,0.000,0.425,0.512,0.030,0.059,0.154,0.460,0.000,0.000,0.133
model.000.14.pdb,0.270,0.000,0.037,0.000,0.000,0.373,0.000,0.000,0.000,0.035,0.000,0.047,0.540,0.322,0.000
