 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.327,0.172,0.000,0.160,0.000,0.153,0.061,0.095,0.186,0.015,0.320,0.316,0.048,0.268,0.000
model.000.01.pdb,0.000,0.000,0.240,0.000,0.261,0.000,0.193,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.085
model.000.02.pdb,0.000,0.068,0.396,0.047,0.500,0.000,0.043,0.091,0.000,0.078,0.000,0.000,0.000,0.000,0.468
model.000.03.pdb,0.000,0.000,0.235,0.000,0.255,0.000,0.190,0.000,0.000,0.300,0.000,0.000,0.016,0.000,0.083
model.000.04.pdb,0.000,0.000,0.289,0.013,0.500,0.000,0.085,0.033,0.000,0.132,0.000,0.000,0.000,0.000,0.277
model.000.05.pdb,0.423,0.226,0.032,0.173,0.000,0.045,0.000,0.148,0.164,0.000,0.288,0.462,0.000,0.241,0.031
model.000.06.pdb,0.000,0.000,0.213,0.067,0.514,0.000,0.033,0.033,0.000,0.054,0.000,0.000,0.000,0.000,0.283
model.000.07.pdb,0.000,0.000,0.192,0.037,0.450,0.000,0.133,0.015,0.000,0.208,0.000,0.000,0.000,0.000,0.164
model.000.08.pdb,0.000,0.000,0.000,0.000,0.000,0.200,0.721,0.000,0.000,0.522,0.000,0.000,0.353,0.000,0.000
model.000.09.pdb,0.025,0.012,0.029,0.011,0.015,0.013,0.345,0.000,0.000,0.396,0.028,0.064,0.074,0.013,0.000
model.000.10.pdb,0.000,0.012,0.056,0.126,0.203,0.145,0.038,0.067,0.038,0.041,0.000,0.000,0.134,0.012,0.116
model.000.11.pdb,0.012,0.091,0.490,0.021,0.380,0.000,0.026,0.099,0.013,0.071,0.000,0.000,0.000,0.000,0.442
model.000.12.pdb,0.522,0.412,0.109,0.235,0.000,0.000,0.000,0.320,0.264,0.000,0.286,0.565,0.000,0.283,0.105
model.000.13.pdb,0.340,0.259,0.000,0.232,0.000,0.138,0.015,0.136,0.283,0.000,0.455,0.352,0.033,0.380,0.000
model.000.14.pdb,0.000,0.000,0.062,0.152,0.231,0.091,0.057,0.058,0.028,0.045,0.000,0.000,0.113,0.014,0.129
