 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.219,0.000,0.015,0.000,0.111,0.431,0.000,0.036,0.317,0.106,0.000,0.000,0.014,0.000,0.000
model.000.01.pdb,0.000,0.092,0.031,0.210,0.000,0.000,0.380,0.000,0.000,0.109,0.000,0.145,0.241,0.090,0.143
model.000.02.pdb,0.038,0.134,0.000,0.481,0.137,0.000,0.233,0.127,0.012,0.013,0.000,0.511,0.375,0.099,0.510
model.000.03.pdb,0.000,0.075,0.031,0.206,0.000,0.000,0.296,0.000,0.000,0.143,0.000,0.143,0.237,0.072,0.141
model.000.04.pdb,0.000,0.314,0.051,0.203,0.057,0.000,0.413,0.081,0.000,0.063,0.066,0.372,0.214,0.232,0.283
model.000.05.pdb,0.254,0.000,0.000,0.054,0.157,0.396,0.000,0.061,0.455,0.028,0.000,0.000,0.087,0.000,0.014
model.000.06.pdb,0.000,0.435,0.034,0.167,0.058,0.000,0.333,0.129,0.000,0.048,0.067,0.381,0.155,0.308,0.314
model.000.07.pdb,0.000,0.315,0.065,0.172,0.026,0.000,0.568,0.077,0.000,0.076,0.062,0.286,0.143,0.259,0.241
model.000.08.pdb,0.000,0.149,0.333,0.000,0.000,0.000,0.210,0.000,0.000,0.750,0.190,0.000,0.000,0.162,0.000
model.000.09.pdb,0.024,0.025,0.086,0.049,0.000,0.038,0.129,0.000,0.074,0.306,0.000,0.000,0.093,0.025,0.012
model.000.10.pdb,0.023,0.527,0.197,0.035,0.083,0.000,0.171,0.228,0.000,0.050,0.344,0.169,0.037,0.536,0.149
model.000.11.pdb,0.061,0.093,0.000,0.593,0.141,0.000,0.212,0.118,0.023,0.000,0.000,0.423,0.509,0.077,0.509
model.000.12.pdb,0.389,0.000,0.000,0.121,0.305,0.321,0.000,0.186,0.520,0.000,0.000,0.033,0.164,0.000,0.092
model.000.13.pdb,0.310,0.000,0.000,0.000,0.147,0.543,0.000,0.050,0.400,0.060,0.015,0.000,0.014,0.000,0.000
model.000.14.pdb,0.025,0.571,0.180,0.038,0.077,0.000,0.154,0.268,0.000,0.069,0.293,0.169,0.040,0.549,0.147
