 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.161,0.346,0.158,0.130,0.030,0.132,0.102,0.000,0.042,0.040,0.490,0.123,0.000,0.029
model.000.01.pdb,0.113,0.000,0.069,0.000,0.019,0.304,0.000,0.000,0.000,0.031,0.000,0.097,0.474,0.096,0.000
model.000.02.pdb,0.000,0.136,0.509,0.134,0.246,0.026,0.250,0.190,0.000,0.012,0.143,0.509,0.104,0.000,0.141
model.000.03.pdb,0.068,0.283,0.051,0.300,0.074,0.013,0.029,0.149,0.660,0.554,0.023,0.086,0.000,0.027,0.025
model.000.04.pdb,0.000,0.309,0.453,0.304,0.236,0.027,0.136,0.200,0.000,0.065,0.024,0.627,0.092,0.000,0.026
model.000.05.pdb,0.222,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.000,0.000,0.235,0.306,0.000
model.000.06.pdb,0.042,0.014,0.305,0.014,0.115,0.103,0.098,0.043,0.000,0.000,0.090,0.277,0.246,0.043,0.083
model.000.07.pdb,0.014,0.186,0.389,0.183,0.222,0.090,0.182,0.167,0.000,0.067,0.037,0.473,0.169,0.014,0.041
model.000.08.pdb,0.000,0.690,0.206,0.600,0.218,0.000,0.100,0.315,0.185,0.397,0.050,0.302,0.000,0.000,0.027
model.000.09.pdb,0.231,0.000,0.015,0.000,0.000,0.477,0.000,0.000,0.000,0.075,0.000,0.028,0.564,0.216,0.000
model.000.10.pdb,0.220,0.000,0.000,0.000,0.000,0.237,0.000,0.000,0.000,0.013,0.000,0.000,0.278,0.346,0.000
model.000.11.pdb,0.226,0.033,0.000,0.049,0.000,0.245,0.000,0.000,0.150,0.352,0.000,0.000,0.192,0.145,0.000
model.000.12.pdb,0.490,0.000,0.000,0.000,0.000,0.451,0.000,0.000,0.000,0.052,0.012,0.000,0.273,0.651,0.000
model.000.13.pdb,0.275,0.000,0.000,0.000,0.000,0.245,0.000,0.000,0.000,0.014,0.000,0.000,0.265,0.370,0.000
model.000.14.pdb,0.365,0.015,0.000,0.029,0.000,0.309,0.000,0.000,0.172,0.317,0.000,0.000,0.172,0.255,0.000
