 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.203,0.000,0.053,0.045,0.000,0.273,0.000,0.014,0.053,0.014,0.000,0.056,0.000,0.039
model.000.01.pdb,0.175,0.000,0.571,0.418,0.136,0.532,0.000,0.353,0.207,0.000,0.268,0.211,0.254,0.622,0.000
model.000.02.pdb,0.197,0.036,0.365,0.153,0.059,0.262,0.028,0.175,0.293,0.169,0.056,0.574,0.053,0.383,0.139
model.000.03.pdb,0.154,0.000,0.457,0.436,0.097,0.521,0.000,0.296,0.203,0.000,0.263,0.207,0.250,0.605,0.000
model.000.04.pdb,0.400,0.000,0.476,0.194,0.125,0.333,0.000,0.327,0.158,0.104,0.117,0.327,0.077,0.302,0.074
model.000.05.pdb,0.000,0.254,0.000,0.013,0.000,0.000,0.479,0.000,0.106,0.066,0.000,0.000,0.000,0.000,0.081
model.000.06.pdb,0.408,0.000,0.356,0.090,0.069,0.196,0.000,0.208,0.102,0.141,0.048,0.333,0.030,0.222,0.125
model.000.07.pdb,0.370,0.000,0.650,0.279,0.155,0.469,0.000,0.468,0.111,0.083,0.183,0.278,0.156,0.395,0.055
model.000.08.pdb,0.143,0.000,0.108,0.500,0.521,0.279,0.000,0.271,0.000,0.000,0.638,0.000,0.739,0.000,0.000
model.000.09.pdb,0.024,0.011,0.134,0.517,0.203,0.281,0.083,0.197,0.096,0.000,0.350,0.013,0.448,0.129,0.000
model.000.10.pdb,0.426,0.022,0.145,0.071,0.111,0.090,0.000,0.155,0.012,0.182,0.037,0.139,0.024,0.074,0.200
model.000.11.pdb,0.164,0.057,0.328,0.171,0.026,0.239,0.039,0.143,0.446,0.156,0.051,0.600,0.049,0.543,0.128
model.000.12.pdb,0.000,0.429,0.000,0.000,0.000,0.000,0.634,0.000,0.190,0.185,0.000,0.046,0.000,0.000,0.226
model.000.13.pdb,0.000,0.286,0.000,0.026,0.000,0.000,0.236,0.000,0.014,0.083,0.000,0.000,0.014,0.000,0.055
model.000.14.pdb,0.429,0.024,0.091,0.050,0.106,0.099,0.000,0.154,0.013,0.200,0.069,0.136,0.053,0.065,0.221
