 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.304,0.435,0.110,0.286,0.158,0.000,0.000,0.000,0.451,0.460,0.560,0.161,0.556,0.615,0.152
model.000.01.pdb,0.015,0.050,0.041,0.000,0.000,0.756,0.689,0.083,0.000,0.000,0.000,0.031,0.000,0.000,0.014
model.000.02.pdb,0.000,0.000,0.000,0.000,0.000,0.218,0.315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.03.pdb,0.263,0.035,0.778,0.029,0.477,0.070,0.013,0.438,0.000,0.000,0.055,0.578,0.000,0.078,0.667
model.000.04.pdb,0.531,0.517,0.186,0.175,0.172,0.013,0.012,0.075,0.226,0.230,0.509,0.276,0.309,0.623,0.219
model.000.05.pdb,0.079,0.254,0.027,0.489,0.034,0.000,0.000,0.000,0.683,0.619,0.352,0.015,0.625,0.362,0.029
model.000.06.pdb,0.000,0.000,0.072,0.000,0.000,0.429,0.276,0.212,0.000,0.000,0.000,0.000,0.000,0.000,0.062
model.000.07.pdb,0.350,0.617,0.113,0.053,0.088,0.090,0.141,0.068,0.093,0.110,0.303,0.176,0.164,0.353,0.120
model.000.08.pdb,0.156,0.268,0.079,0.553,0.136,0.000,0.000,0.000,0.531,0.510,0.386,0.106,0.543,0.441,0.100
model.000.09.pdb,0.000,0.000,0.000,0.000,0.000,0.143,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.10.pdb,0.000,0.025,0.000,0.000,0.000,0.273,0.480,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000
model.000.11.pdb,0.277,0.101,0.388,0.000,0.152,0.143,0.079,0.425,0.000,0.000,0.083,0.311,0.018,0.076,0.312
model.000.12.pdb,0.302,0.049,0.711,0.062,0.476,0.074,0.000,0.467,0.014,0.000,0.072,0.478,0.015,0.111,0.756
model.000.13.pdb,0.014,0.049,0.026,0.000,0.000,0.682,0.773,0.063,0.000,0.000,0.000,0.030,0.000,0.000,0.014
model.000.14.pdb,0.408,0.118,0.510,0.000,0.240,0.123,0.069,0.375,0.000,0.000,0.104,0.388,0.015,0.127,0.500
