 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.014,0.345,0.000,0.000,0.000,0.000,0.275,0.000,0.288,0.364,0.000,0.294,0.000,0.018,0.542
model.000.01.pdb,0.024,0.492,0.000,0.000,0.000,0.000,0.157,0.000,0.051,0.569,0.000,0.093,0.000,0.000,0.500
model.000.02.pdb,0.082,0.103,0.164,0.025,0.000,0.085,0.159,0.028,0.630,0.122,0.000,0.510,0.013,0.275,0.171
model.000.03.pdb,0.000,0.283,0.000,0.000,0.000,0.000,0.524,0.000,0.082,0.088,0.000,0.000,0.000,0.000,0.074
model.000.04.pdb,0.000,0.145,0.057,0.000,0.000,0.016,0.234,0.000,0.538,0.062,0.000,0.204,0.000,0.163,0.175
model.000.05.pdb,0.829,0.000,0.288,0.129,0.236,0.259,0.000,0.346,0.029,0.068,0.143,0.129,0.103,0.130,0.054
model.000.06.pdb,0.549,0.000,0.164,0.078,0.263,0.149,0.000,0.276,0.000,0.107,0.152,0.072,0.113,0.048,0.123
model.000.07.pdb,0.172,0.000,0.364,0.143,0.017,0.245,0.000,0.145,0.362,0.059,0.066,0.500,0.062,0.588,0.076
model.000.08.pdb,0.000,0.411,0.000,0.000,0.000,0.000,0.245,0.000,0.015,0.152,0.000,0.000,0.000,0.000,0.056
model.000.09.pdb,0.000,0.393,0.000,0.000,0.000,0.000,0.161,0.000,0.000,0.172,0.000,0.000,0.000,0.000,0.057
model.000.10.pdb,0.000,0.660,0.000,0.000,0.000,0.000,0.207,0.000,0.075,0.356,0.000,0.044,0.000,0.000,0.295
model.000.11.pdb,0.029,0.149,0.051,0.000,0.000,0.000,0.185,0.000,0.467,0.175,0.000,0.383,0.000,0.143,0.259
model.000.12.pdb,0.000,0.500,0.000,0.000,0.000,0.000,0.216,0.000,0.016,0.241,0.000,0.000,0.000,0.000,0.109
model.000.13.pdb,0.000,0.745,0.000,0.000,0.000,0.000,0.288,0.000,0.114,0.387,0.000,0.069,0.000,0.000,0.349
model.000.14.pdb,0.057,0.141,0.158,0.026,0.000,0.091,0.172,0.030,0.667,0.130,0.000,0.500,0.014,0.277,0.222
