 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.286,0.073,0.538,0.000,0.250,0.134,0.081,0.500,0.000,0.000,0.041,0.420,0.000,0.064,0.471
model.000.01.pdb,0.088,0.026,0.250,0.000,0.058,0.294,0.167,0.475,0.000,0.000,0.000,0.130,0.000,0.000,0.204
model.000.02.pdb,0.014,0.048,0.067,0.000,0.000,0.810,0.633,0.113,0.000,0.000,0.000,0.029,0.000,0.000,0.042
model.000.03.pdb,0.000,0.000,0.000,0.000,0.000,0.196,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.04.pdb,0.000,0.000,0.132,0.000,0.088,0.058,0.027,0.269,0.000,0.000,0.000,0.062,0.000,0.000,0.125
model.000.05.pdb,0.000,0.000,0.000,0.000,0.000,0.340,0.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
model.000.06.pdb,0.000,0.000,0.024,0.000,0.000,0.081,0.063,0.090,0.000,0.000,0.000,0.014,0.000,0.000,0.026
model.000.07.pdb,0.070,0.000,0.353,0.000,0.125,0.204,0.078,0.657,0.000,0.000,0.000,0.200,0.000,0.000,0.306
model.000.08.pdb,0.069,0.000,0.400,0.000,0.170,0.158,0.061,0.788,0.000,0.000,0.000,0.220,0.000,0.000,0.327
model.000.09.pdb,0.043,0.239,0.000,0.365,0.000,0.000,0.000,0.000,0.659,0.714,0.328,0.000,0.568,0.297,0.000
model.000.10.pdb,0.291,0.359,0.129,0.296,0.185,0.000,0.000,0.015,0.532,0.511,0.490,0.167,0.581,0.577,0.175
model.000.11.pdb,0.360,0.063,0.689,0.031,0.419,0.091,0.013,0.413,0.000,0.000,0.074,0.558,0.000,0.113,0.651
model.000.12.pdb,0.017,0.000,0.115,0.000,0.000,0.488,0.259,0.326,0.000,0.000,0.000,0.035,0.000,0.000,0.086
model.000.13.pdb,0.414,0.719,0.125,0.141,0.154,0.024,0.084,0.026,0.221,0.242,0.475,0.174,0.339,0.550,0.149
model.000.14.pdb,0.000,0.000,0.000,0.000,0.000,0.138,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
