 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.000,0.000,0.089,0.000,0.241,0.000,0.000,0.000,0.000,0.045,0.055,0.000,0.074,0.081
model.000.01.pdb,0.000,0.000,0.019,0.366,0.000,0.265,0.000,0.477,0.014,0.273,0.067,0.075,0.353,0.000,0.056
model.000.02.pdb,0.012,0.000,0.000,0.367,0.000,0.460,0.000,0.101,0.012,0.095,0.014,0.203,0.111,0.000,0.246
model.000.03.pdb,0.000,0.000,0.113,0.245,0.000,0.175,0.000,0.458,0.013,0.250,0.211,0.027,0.370,0.014,0.000
model.000.04.pdb,0.108,0.000,0.275,0.098,0.079,0.058,0.132,0.551,0.186,0.653,0.042,0.153,0.667,0.000,0.062
model.000.05.pdb,0.154,0.000,0.304,0.056,0.125,0.025,0.181,0.500,0.247,0.745,0.051,0.197,0.796,0.000,0.106
model.000.06.pdb,0.000,0.000,0.034,0.260,0.000,0.255,0.000,0.180,0.000,0.069,0.449,0.000,0.118,0.172,0.000
model.000.07.pdb,0.000,0.000,0.000,0.244,0.000,0.442,0.000,0.016,0.000,0.000,0.067,0.059,0.000,0.046,0.103
model.000.08.pdb,0.649,0.227,0.203,0.000,0.446,0.000,0.508,0.100,0.696,0.240,0.000,0.319,0.195,0.000,0.342
model.000.09.pdb,0.026,0.102,0.000,0.000,0.083,0.015,0.028,0.000,0.000,0.000,0.291,0.000,0.000,0.562,0.000
model.000.10.pdb,0.000,0.000,0.015,0.145,0.000,0.242,0.000,0.026,0.000,0.000,0.612,0.000,0.024,0.361,0.011
model.000.11.pdb,0.117,0.000,0.211,0.092,0.089,0.055,0.141,0.600,0.192,0.667,0.039,0.160,0.680,0.000,0.059
model.000.12.pdb,0.080,0.000,0.362,0.082,0.095,0.043,0.134,0.471,0.139,0.538,0.088,0.038,0.580,0.000,0.000
model.000.13.pdb,0.000,0.000,0.059,0.302,0.000,0.216,0.000,0.585,0.014,0.296,0.085,0.059,0.408,0.000,0.027
model.000.14.pdb,0.500,0.423,0.250,0.000,0.554,0.000,0.640,0.038,0.467,0.147,0.000,0.073,0.090,0.063,0.123
