 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.731,0.000,0.000,0.000,0.000,0.262,0.000,0.097,0.475,0.000,0.083,0.000,0.000,0.410
model.000.01.pdb,0.000,0.426,0.000,0.000,0.000,0.000,0.164,0.000,0.000,0.175,0.000,0.000,0.000,0.000,0.043
model.000.02.pdb,0.000,0.217,0.036,0.000,0.000,0.000,0.333,0.000,0.550,0.094,0.000,0.196,0.000,0.083,0.232
model.000.03.pdb,0.511,0.000,0.579,0.241,0.271,0.500,0.000,0.575,0.067,0.000,0.250,0.086,0.172,0.256,0.000
model.000.04.pdb,0.000,0.636,0.000,0.000,0.000,0.000,0.481,0.000,0.097,0.279,0.000,0.040,0.000,0.000,0.265
model.000.05.pdb,0.480,0.000,0.467,0.322,0.457,0.469,0.000,0.683,0.029,0.000,0.392,0.045,0.298,0.176,0.000
model.000.06.pdb,0.000,0.667,0.000,0.000,0.000,0.000,0.385,0.000,0.156,0.344,0.000,0.074,0.000,0.000,0.350
model.000.07.pdb,0.185,0.050,0.327,0.125,0.029,0.230,0.029,0.143,0.304,0.174,0.028,0.565,0.027,0.400,0.159
model.000.08.pdb,0.000,0.655,0.000,0.000,0.000,0.000,0.300,0.000,0.159,0.544,0.000,0.129,0.000,0.000,0.554
model.000.09.pdb,0.108,0.171,0.121,0.012,0.000,0.067,0.169,0.000,0.418,0.284,0.000,0.604,0.000,0.153,0.349
model.000.10.pdb,0.013,0.000,0.153,0.509,0.169,0.254,0.014,0.183,0.091,0.000,0.377,0.060,0.462,0.192,0.000
model.000.11.pdb,0.135,0.138,0.000,0.000,0.013,0.000,0.040,0.000,0.039,0.375,0.000,0.162,0.000,0.000,0.403
model.000.12.pdb,0.125,0.114,0.197,0.049,0.000,0.113,0.103,0.041,0.400,0.269,0.000,0.689,0.013,0.264,0.292
model.000.13.pdb,0.000,0.012,0.000,0.312,0.123,0.114,0.104,0.056,0.056,0.000,0.222,0.000,0.290,0.015,0.000
model.000.14.pdb,0.176,0.160,0.026,0.000,0.039,0.024,0.013,0.051,0.000,0.338,0.024,0.065,0.012,0.000,0.324
