 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.000,0.000,0.511,0.000,0.480,0.000,0.185,0.000,0.108,0.013,0.135,0.125,0.000,0.176
model.000.01.pdb,0.731,0.426,0.217,0.000,0.636,0.000,0.667,0.050,0.655,0.171,0.000,0.138,0.114,0.012,0.160
model.000.02.pdb,0.000,0.000,0.036,0.579,0.000,0.467,0.000,0.327,0.000,0.121,0.153,0.000,0.197,0.000,0.026
model.000.03.pdb,0.000,0.000,0.000,0.241,0.000,0.322,0.000,0.125,0.000,0.012,0.509,0.000,0.049,0.312,0.000
model.000.04.pdb,0.000,0.000,0.000,0.271,0.000,0.457,0.000,0.029,0.000,0.000,0.169,0.013,0.000,0.123,0.039
model.000.05.pdb,0.000,0.000,0.000,0.500,0.000,0.469,0.000,0.230,0.000,0.067,0.254,0.000,0.113,0.114,0.024
model.000.06.pdb,0.262,0.164,0.333,0.000,0.481,0.000,0.385,0.029,0.300,0.169,0.014,0.040,0.103,0.104,0.013
model.000.07.pdb,0.000,0.000,0.000,0.575,0.000,0.683,0.000,0.143,0.000,0.000,0.183,0.000,0.041,0.056,0.051
model.000.08.pdb,0.097,0.000,0.550,0.067,0.097,0.029,0.156,0.304,0.159,0.418,0.091,0.039,0.400,0.056,0.000
model.000.09.pdb,0.475,0.175,0.094,0.000,0.279,0.000,0.344,0.174,0.544,0.284,0.000,0.375,0.269,0.000,0.338
model.000.10.pdb,0.000,0.000,0.000,0.250,0.000,0.392,0.000,0.028,0.000,0.000,0.377,0.000,0.000,0.222,0.024
model.000.11.pdb,0.083,0.000,0.196,0.086,0.040,0.045,0.074,0.565,0.129,0.604,0.060,0.162,0.689,0.000,0.065
model.000.12.pdb,0.000,0.000,0.000,0.172,0.000,0.298,0.000,0.027,0.000,0.000,0.462,0.000,0.013,0.290,0.012
model.000.13.pdb,0.000,0.000,0.083,0.256,0.000,0.176,0.000,0.400,0.000,0.153,0.192,0.000,0.264,0.015,0.000
model.000.14.pdb,0.410,0.043,0.232,0.000,0.265,0.000,0.350,0.159,0.554,0.349,0.000,0.403,0.292,0.000,0.324
