 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.125,0.156,0.000,0.000,0.550,0.055,0.000,0.133,0.111,0.000,0.593
model.000.01.pdb,0.228,0.250,0.810,0.129,0.118,0.077,0.075,0.383,0.048,0.000,0.096,0.096,0.056,0.182,0.000
model.000.02.pdb,0.757,0.000,0.268,0.000,0.000,0.000,0.098,0.579,0.000,0.047,0.210,0.000,0.000,0.000,0.000
model.000.03.pdb,0.000,0.255,0.039,0.396,0.600,0.630,0.134,0.000,0.095,0.000,0.037,0.647,0.717,0.327,0.104
model.000.04.pdb,0.000,0.043,0.012,0.055,0.221,0.300,0.000,0.000,0.696,0.013,0.000,0.243,0.188,0.043,0.467
model.000.05.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.239,0.108,0.000,0.000,0.027,0.000,0.558
model.000.06.pdb,0.153,0.340,0.370,0.283,0.121,0.079,0.321,0.312,0.000,0.000,0.238,0.114,0.123,0.286,0.000
model.000.07.pdb,0.000,0.083,0.127,0.037,0.219,0.276,0.000,0.000,0.629,0.000,0.000,0.208,0.100,0.068,0.237
model.000.08.pdb,0.000,0.000,0.000,0.000,0.051,0.059,0.000,0.000,0.324,0.114,0.000,0.036,0.095,0.000,0.740
model.000.09.pdb,0.373,0.016,0.169,0.014,0.000,0.000,0.241,0.354,0.000,0.286,0.569,0.000,0.000,0.016,0.000
model.000.10.pdb,0.545,0.016,0.321,0.000,0.000,0.000,0.029,0.537,0.012,0.000,0.099,0.000,0.000,0.000,0.000
model.000.11.pdb,0.000,0.425,0.115,0.348,0.619,0.551,0.103,0.000,0.127,0.000,0.000,0.532,0.426,0.425,0.043
model.000.12.pdb,0.000,0.245,0.041,0.420,0.540,0.518,0.159,0.000,0.127,0.000,0.052,0.446,0.727,0.294,0.139
model.000.13.pdb,0.286,0.196,0.814,0.108,0.083,0.049,0.072,0.489,0.047,0.000,0.093,0.065,0.041,0.136,0.000
model.000.14.pdb,0.000,0.347,0.100,0.315,0.791,0.771,0.090,0.000,0.203,0.000,0.025,0.723,0.490,0.347,0.093
