 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.469,0.170,0.029,0.000,0.131,0.000,0.027,0.245,0.319,0.000,0.145,0.659,0.053,0.155,0.000
model.000.01.pdb,0.123,0.019,0.000,0.000,0.000,0.000,0.000,0.019,0.038,0.049,0.260,0.250,0.000,0.213,0.000
model.000.02.pdb,0.640,0.309,0.093,0.000,0.097,0.000,0.012,0.315,0.309,0.000,0.141,0.625,0.129,0.227,0.000
model.000.03.pdb,0.024,0.057,0.120,0.364,0.500,0.224,0.833,0.090,0.088,0.000,0.000,0.013,0.143,0.000,0.423
model.000.04.pdb,0.580,0.278,0.053,0.000,0.206,0.000,0.064,0.417,0.468,0.000,0.114,0.531,0.175,0.099,0.000
model.000.05.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.511,0.591,0.000,0.000,0.397,0.000
model.000.06.pdb,0.362,0.113,0.026,0.000,0.013,0.000,0.000,0.097,0.095,0.026,0.238,0.415,0.015,0.369,0.000
model.000.07.pdb,0.481,0.288,0.055,0.000,0.121,0.000,0.025,0.347,0.367,0.000,0.152,0.659,0.121,0.145,0.000
model.000.08.pdb,0.164,0.214,0.114,0.095,0.562,0.066,0.344,0.314,0.360,0.000,0.000,0.121,0.245,0.000,0.115
model.000.09.pdb,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.131,0.308,0.161,0.000,0.215,0.000
model.000.10.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.571,0.583,0.000,0.000,0.381,0.000
model.000.11.pdb,0.000,0.000,0.000,0.017,0.063,0.000,0.175,0.000,0.000,0.061,0.045,0.031,0.000,0.000,0.091
model.000.12.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.592,0.351,0.000,0.000,0.143,0.000
model.000.13.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.591,0.568,0.000,0.000,0.311,0.000
model.000.14.pdb,0.000,0.000,0.000,0.063,0.043,0.016,0.176,0.000,0.000,0.169,0.056,0.014,0.000,0.000,0.158
