 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.174,0.073,0.304,0.104,0.014,0.197,0.056,0.118,0.375,0.214,0.026,0.727,0.025,0.367,0.183
model.000.01.pdb,0.315,0.000,0.432,0.172,0.067,0.302,0.000,0.245,0.196,0.119,0.062,0.435,0.060,0.390,0.104
model.000.02.pdb,0.800,0.000,0.281,0.149,0.321,0.274,0.000,0.357,0.027,0.090,0.200,0.134,0.157,0.117,0.077
model.000.03.pdb,0.241,0.000,0.103,0.288,0.806,0.273,0.000,0.314,0.000,0.000,0.500,0.000,0.532,0.000,0.000
model.000.04.pdb,0.099,0.000,0.373,0.547,0.224,0.490,0.000,0.327,0.156,0.000,0.442,0.141,0.444,0.333,0.000
model.000.05.pdb,0.388,0.000,0.176,0.161,0.605,0.222,0.000,0.370,0.000,0.000,0.383,0.000,0.308,0.019,0.000
model.000.06.pdb,0.104,0.000,0.185,0.679,0.368,0.407,0.000,0.311,0.038,0.000,0.608,0.039,0.735,0.127,0.000
model.000.07.pdb,0.250,0.000,0.476,0.213,0.050,0.308,0.000,0.226,0.245,0.042,0.081,0.413,0.077,0.647,0.043
model.000.08.pdb,0.203,0.000,0.465,0.210,0.049,0.302,0.000,0.200,0.314,0.042,0.079,0.435,0.076,0.676,0.042
model.000.09.pdb,0.000,0.375,0.000,0.000,0.000,0.000,0.172,0.000,0.000,0.181,0.000,0.000,0.000,0.000,0.063
model.000.10.pdb,0.000,0.673,0.000,0.000,0.000,0.000,0.321,0.000,0.152,0.292,0.000,0.071,0.000,0.000,0.277
model.000.11.pdb,0.085,0.120,0.131,0.025,0.000,0.071,0.145,0.014,0.587,0.191,0.000,0.600,0.013,0.212,0.212
model.000.12.pdb,0.533,0.000,0.564,0.259,0.216,0.457,0.000,0.455,0.083,0.043,0.222,0.185,0.150,0.341,0.014
model.000.13.pdb,0.022,0.581,0.000,0.000,0.000,0.000,0.250,0.000,0.130,0.557,0.000,0.117,0.000,0.000,0.621
model.000.14.pdb,0.183,0.000,0.068,0.339,0.600,0.190,0.000,0.269,0.000,0.000,0.447,0.000,0.543,0.000,0.000
