 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,1.000,0.000,0.271,0.548,0.000,0.250,0.294,0.000,0.346,0.000,0.111,0.328,0.353,0.625,0.703,0.027,0.000,0.014,0.016,0.465
model.000.01.pdb,0.000,1.000,0.000,0.000,0.558,0.000,0.000,0.304,0.000,0.362,0.043,0.013,0.000,0.000,0.000,0.027,0.298,0.283,0.081,0.000
model.000.02.pdb,0.271,0.000,1.000,0.134,0.000,0.056,0.069,0.038,0.110,0.023,0.095,0.158,0.111,0.188,0.276,0.284,0.000,0.024,0.027,0.194
model.000.03.pdb,0.548,0.000,0.134,1.000,0.000,0.375,0.396,0.000,0.420,0.013,0.076,0.279,0.346,0.737,0.422,0.000,0.043,0.041,0.000,0.488
model.000.04.pdb,0.000,0.558,0.000,0.000,1.000,0.000,0.000,0.180,0.000,0.500,0.014,0.000,0.000,0.000,0.000,0.013,0.553,0.462,0.031,0.032
model.000.05.pdb,0.250,0.000,0.056,0.375,0.000,1.000,0.811,0.000,0.651,0.013,0.164,0.322,0.458,0.404,0.208,0.000,0.000,0.000,0.100,0.123
model.000.06.pdb,0.294,0.000,0.069,0.396,0.000,0.811,1.000,0.000,0.800,0.000,0.220,0.386,0.578,0.426,0.250,0.000,0.000,0.000,0.136,0.140
model.000.07.pdb,0.000,0.304,0.038,0.000,0.180,0.000,0.000,1.000,0.000,0.120,0.027,0.000,0.000,0.000,0.000,0.139,0.082,0.093,0.125,0.000
model.000.08.pdb,0.346,0.000,0.110,0.420,0.000,0.651,0.800,0.000,1.000,0.000,0.246,0.456,0.596,0.449,0.327,0.000,0.000,0.000,0.164,0.190
model.000.09.pdb,0.000,0.362,0.023,0.013,0.500,0.013,0.000,0.120,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.173,0.604,0.492,0.000,0.056
model.000.10.pdb,0.111,0.043,0.095,0.076,0.014,0.164,0.220,0.027,0.246,0.000,1.000,0.509,0.415,0.092,0.095,0.000,0.000,0.000,0.543,0.000
model.000.11.pdb,0.328,0.013,0.158,0.279,0.000,0.322,0.386,0.000,0.456,0.000,0.509,1.000,0.640,0.300,0.357,0.000,0.000,0.000,0.279,0.134
model.000.12.pdb,0.353,0.000,0.111,0.346,0.000,0.458,0.578,0.000,0.596,0.000,0.415,0.640,1.000,0.373,0.333,0.000,0.000,0.000,0.228,0.133
model.000.13.pdb,0.625,0.000,0.188,0.737,0.000,0.404,0.426,0.000,0.449,0.000,0.092,0.300,0.373,1.000,0.524,0.013,0.028,0.041,0.015,0.488
model.000.14.pdb,0.703,0.000,0.276,0.422,0.000,0.208,0.250,0.000,0.327,0.000,0.095,0.357,0.333,0.524,1.000,0.028,0.000,0.014,0.016,0.442
model.000.15.pdb,0.027,0.027,0.284,0.000,0.013,0.000,0.000,0.139,0.000,0.173,0.000,0.000,0.000,0.013,0.028,1.000,0.122,0.132,0.000,0.028
model.000.16.pdb,0.000,0.298,0.000,0.043,0.553,0.000,0.000,0.082,0.000,0.604,0.000,0.000,0.000,0.028,0.000,0.122,1.000,0.729,0.000,0.092
model.000.17.pdb,0.014,0.283,0.024,0.041,0.462,0.000,0.000,0.093,0.000,0.492,0.000,0.000,0.000,0.041,0.014,0.132,0.729,1.000,0.000,0.121
model.000.18.pdb,0.016,0.081,0.027,0.000,0.031,0.100,0.136,0.125,0.164,0.000,0.543,0.279,0.228,0.015,0.016,0.000,0.000,0.000,1.000,0.000
model.000.19.pdb,0.465,0.000,0.194,0.488,0.032,0.123,0.140,0.000,0.190,0.056,0.000,0.134,0.133,0.488,0.442,0.028,0.092,0.121,0.000,1.000
