 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.440,0.000,0.339,0.281,0.000,0.177,0.213,0.000,0.258,0.000,0.238,0.491,0.351,0.304,0.511,0.051,0.000,0.000,0.058,0.224
model.000.01.pdb,0.000,0.095,0.068,0.000,0.030,0.000,0.030,0.276,0.058,0.000,0.404,0.159,0.125,0.000,0.000,0.040,0.000,0.000,0.545,0.000
model.000.02.pdb,0.000,0.268,0.000,0.045,0.458,0.000,0.000,0.086,0.000,0.608,0.000,0.000,0.000,0.029,0.000,0.111,0.638,0.569,0.000,0.097
model.000.03.pdb,0.641,0.000,0.316,0.383,0.000,0.250,0.294,0.000,0.321,0.000,0.148,0.426,0.380,0.477,0.800,0.027,0.000,0.014,0.016,0.340
model.000.04.pdb,0.045,0.143,0.080,0.076,0.183,0.000,0.000,0.027,0.000,0.383,0.000,0.000,0.000,0.076,0.045,0.286,0.418,0.421,0.000,0.150
model.000.05.pdb,0.086,0.011,0.456,0.011,0.000,0.000,0.000,0.118,0.000,0.086,0.033,0.063,0.022,0.047,0.130,0.597,0.043,0.065,0.011,0.074
model.000.06.pdb,0.413,0.000,0.520,0.222,0.000,0.119,0.136,0.000,0.183,0.000,0.092,0.279,0.207,0.294,0.561,0.101,0.000,0.013,0.000,0.280
model.000.07.pdb,0.000,0.018,0.000,0.143,0.143,0.191,0.188,0.000,0.151,0.153,0.000,0.015,0.034,0.077,0.000,0.000,0.167,0.179,0.000,0.174
model.000.08.pdb,0.465,0.000,0.104,0.641,0.000,0.455,0.477,0.000,0.500,0.000,0.113,0.310,0.360,0.600,0.378,0.000,0.000,0.000,0.016,0.319
model.000.09.pdb,0.340,0.000,0.156,0.391,0.000,0.123,0.121,0.000,0.150,0.027,0.000,0.101,0.097,0.422,0.348,0.088,0.127,0.156,0.000,0.632
model.000.10.pdb,0.292,0.000,0.074,0.465,0.000,0.658,0.730,0.000,0.581,0.000,0.193,0.364,0.457,0.432,0.271,0.000,0.000,0.000,0.086,0.196
model.000.11.pdb,0.472,0.000,0.306,0.286,0.000,0.102,0.122,0.000,0.157,0.000,0.000,0.179,0.115,0.385,0.529,0.067,0.000,0.016,0.000,0.486
model.000.12.pdb,0.130,0.016,0.108,0.069,0.000,0.069,0.105,0.115,0.117,0.000,0.523,0.321,0.269,0.069,0.091,0.014,0.000,0.000,0.348,0.000
model.000.13.pdb,0.478,0.000,0.145,0.500,0.000,0.408,0.489,0.000,0.542,0.000,0.254,0.558,0.587,0.533,0.523,0.000,0.000,0.000,0.095,0.264
model.000.14.pdb,0.096,0.139,0.083,0.110,0.174,0.000,0.000,0.061,0.000,0.388,0.000,0.000,0.000,0.110,0.068,0.264,0.354,0.422,0.000,0.215
model.000.15.pdb,0.000,0.545,0.027,0.000,0.396,0.000,0.000,0.259,0.000,0.549,0.000,0.000,0.000,0.000,0.000,0.185,0.321,0.262,0.000,0.000
model.000.16.pdb,0.327,0.000,0.096,0.489,0.014,0.186,0.183,0.000,0.230,0.038,0.000,0.123,0.138,0.400,0.283,0.013,0.069,0.096,0.000,0.581
model.000.17.pdb,0.000,0.241,0.056,0.000,0.179,0.000,0.000,0.125,0.000,0.444,0.000,0.000,0.000,0.000,0.000,0.310,0.237,0.246,0.000,0.000
model.000.18.pdb,0.099,0.053,0.171,0.113,0.082,0.000,0.000,0.012,0.012,0.247,0.000,0.011,0.000,0.129,0.085,0.348,0.284,0.309,0.000,0.222
model.000.19.pdb,0.044,0.197,0.093,0.059,0.241,0.000,0.000,0.054,0.000,0.355,0.000,0.000,0.000,0.075,0.045,0.188,0.463,0.519,0.000,0.148
