 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.294,0.578,0.241,0.722,0.000,0.525,0.610,0.059,0.056,0.254,0.375,0.000,0.000,0.241,0.014,0.017,0.000,0.423,0.000
model.000.01.pdb,0.795,0.000,0.000,0.000,0.000,0.543,0.000,0.000,0.057,0.099,0.000,0.000,0.288,0.744,0.000,0.028,0.000,0.132,0.000,0.246
model.000.02.pdb,0.000,0.069,0.155,0.068,0.217,0.000,0.333,0.222,0.078,0.012,0.636,0.100,0.000,0.000,0.694,0.224,0.000,0.000,0.133,0.024
model.000.03.pdb,0.000,0.396,0.714,0.360,0.537,0.000,0.348,0.426,0.028,0.069,0.127,0.625,0.031,0.000,0.106,0.000,0.127,0.093,0.630,0.042
model.000.04.pdb,0.533,0.000,0.000,0.000,0.000,0.795,0.000,0.000,0.014,0.100,0.000,0.000,0.571,0.523,0.000,0.014,0.033,0.341,0.027,0.293
model.000.05.pdb,0.000,0.718,0.309,0.700,0.260,0.000,0.170,0.340,0.090,0.305,0.053,0.418,0.000,0.000,0.028,0.000,0.442,0.035,0.339,0.000
model.000.06.pdb,0.000,0.889,0.327,0.816,0.306,0.000,0.189,0.388,0.138,0.300,0.066,0.436,0.000,0.000,0.042,0.000,0.432,0.017,0.357,0.000
model.000.07.pdb,0.316,0.000,0.000,0.000,0.000,0.152,0.000,0.000,0.129,0.025,0.075,0.000,0.075,0.352,0.026,0.130,0.000,0.000,0.000,0.141
model.000.08.pdb,0.000,0.756,0.351,0.825,0.333,0.000,0.264,0.412,0.164,0.281,0.104,0.456,0.000,0.000,0.083,0.000,0.367,0.000,0.356,0.000
model.000.09.pdb,0.286,0.000,0.012,0.000,0.000,0.439,0.000,0.000,0.000,0.099,0.000,0.023,0.592,0.339,0.000,0.183,0.057,0.365,0.048,0.526
model.000.10.pdb,0.042,0.263,0.055,0.259,0.133,0.014,0.081,0.200,0.625,0.414,0.076,0.051,0.000,0.029,0.068,0.000,0.117,0.000,0.053,0.000
model.000.11.pdb,0.013,0.436,0.235,0.429,0.389,0.000,0.276,0.491,0.308,0.348,0.179,0.216,0.000,0.000,0.149,0.000,0.156,0.000,0.208,0.000
model.000.12.pdb,0.000,0.614,0.288,0.600,0.367,0.000,0.245,0.511,0.242,0.328,0.105,0.262,0.000,0.000,0.085,0.000,0.200,0.000,0.234,0.000
model.000.13.pdb,0.000,0.426,0.674,0.388,0.575,0.000,0.442,0.558,0.028,0.085,0.176,0.529,0.015,0.000,0.159,0.014,0.107,0.035,0.630,0.027
model.000.14.pdb,0.000,0.250,0.429,0.222,0.694,0.000,0.765,0.667,0.044,0.027,0.322,0.310,0.000,0.000,0.291,0.014,0.034,0.000,0.352,0.000
model.000.15.pdb,0.013,0.000,0.012,0.000,0.000,0.013,0.059,0.027,0.012,0.000,0.304,0.000,0.070,0.041,0.258,0.907,0.000,0.015,0.012,0.214
model.000.16.pdb,0.288,0.000,0.039,0.000,0.000,0.481,0.000,0.000,0.000,0.063,0.024,0.062,0.780,0.298,0.013,0.129,0.030,0.404,0.065,0.491
model.000.17.pdb,0.274,0.000,0.051,0.000,0.000,0.429,0.014,0.013,0.000,0.036,0.047,0.060,0.617,0.283,0.037,0.139,0.043,0.380,0.090,0.545
model.000.18.pdb,0.113,0.155,0.000,0.193,0.016,0.029,0.000,0.047,0.698,0.375,0.013,0.013,0.000,0.063,0.028,0.000,0.148,0.000,0.014,0.000
model.000.19.pdb,0.000,0.140,0.489,0.138,0.356,0.030,0.463,0.300,0.000,0.000,0.182,0.434,0.085,0.000,0.203,0.014,0.091,0.188,0.553,0.106
