 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.795,0.000,0.000,0.533,0.000,0.000,0.316,0.000,0.286,0.042,0.013,0.000,0.000,0.000,0.013,0.288,0.274,0.113,0.000
model.000.01.pdb,0.294,0.000,0.069,0.396,0.000,0.718,0.889,0.000,0.756,0.000,0.263,0.436,0.614,0.426,0.250,0.000,0.000,0.000,0.155,0.140
model.000.02.pdb,0.578,0.000,0.155,0.714,0.000,0.309,0.327,0.000,0.351,0.012,0.055,0.235,0.288,0.674,0.429,0.012,0.039,0.051,0.000,0.489
model.000.03.pdb,0.241,0.000,0.068,0.360,0.000,0.700,0.816,0.000,0.825,0.000,0.259,0.429,0.600,0.388,0.222,0.000,0.000,0.000,0.193,0.138
model.000.04.pdb,0.722,0.000,0.217,0.537,0.000,0.260,0.306,0.000,0.333,0.000,0.133,0.389,0.367,0.575,0.694,0.000,0.000,0.000,0.016,0.356
model.000.05.pdb,0.000,0.543,0.000,0.000,0.795,0.000,0.000,0.152,0.000,0.439,0.014,0.000,0.000,0.000,0.000,0.013,0.481,0.429,0.029,0.030
model.000.06.pdb,0.525,0.000,0.333,0.348,0.000,0.170,0.189,0.000,0.264,0.000,0.081,0.276,0.245,0.442,0.765,0.059,0.000,0.014,0.000,0.463
model.000.07.pdb,0.610,0.000,0.222,0.426,0.000,0.340,0.388,0.000,0.412,0.000,0.200,0.491,0.511,0.558,0.667,0.027,0.000,0.013,0.047,0.300
model.000.08.pdb,0.059,0.057,0.078,0.028,0.014,0.090,0.138,0.129,0.164,0.000,0.625,0.308,0.242,0.028,0.044,0.012,0.000,0.000,0.698,0.000
model.000.09.pdb,0.056,0.099,0.012,0.069,0.100,0.305,0.300,0.025,0.281,0.099,0.414,0.348,0.328,0.085,0.027,0.000,0.063,0.036,0.375,0.000
model.000.10.pdb,0.254,0.000,0.636,0.127,0.000,0.053,0.066,0.075,0.104,0.000,0.076,0.179,0.105,0.176,0.322,0.304,0.024,0.047,0.013,0.182
model.000.11.pdb,0.375,0.000,0.100,0.625,0.000,0.418,0.436,0.000,0.456,0.023,0.051,0.216,0.262,0.529,0.310,0.000,0.062,0.060,0.013,0.434
model.000.12.pdb,0.000,0.288,0.000,0.031,0.571,0.000,0.000,0.075,0.000,0.592,0.000,0.000,0.000,0.015,0.000,0.070,0.780,0.617,0.000,0.085
model.000.13.pdb,0.000,0.744,0.000,0.000,0.523,0.000,0.000,0.352,0.000,0.339,0.029,0.000,0.000,0.000,0.000,0.041,0.298,0.283,0.063,0.000
model.000.14.pdb,0.241,0.000,0.694,0.106,0.000,0.028,0.042,0.026,0.083,0.000,0.068,0.149,0.085,0.159,0.291,0.258,0.013,0.037,0.028,0.203
model.000.15.pdb,0.014,0.028,0.224,0.000,0.014,0.000,0.000,0.130,0.000,0.183,0.000,0.000,0.000,0.014,0.014,0.907,0.129,0.139,0.000,0.014
model.000.16.pdb,0.017,0.000,0.000,0.127,0.033,0.442,0.432,0.000,0.367,0.057,0.117,0.156,0.200,0.107,0.034,0.000,0.030,0.043,0.148,0.091
model.000.17.pdb,0.000,0.132,0.000,0.093,0.341,0.035,0.017,0.000,0.000,0.365,0.000,0.000,0.000,0.035,0.000,0.015,0.404,0.380,0.000,0.188
model.000.18.pdb,0.423,0.000,0.133,0.630,0.027,0.339,0.357,0.000,0.356,0.048,0.053,0.208,0.234,0.630,0.352,0.012,0.065,0.090,0.014,0.553
model.000.19.pdb,0.000,0.246,0.024,0.042,0.293,0.000,0.000,0.141,0.000,0.526,0.000,0.000,0.000,0.027,0.000,0.214,0.491,0.545,0.000,0.106
