 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.105,0.026,0.224,0.000,0.037,0.314,0.183,0.333,0.000,0.000,0.000,0.148,0.000,0.000,0.158,0.465,0.352,0.354,0.340,0.028
model.000.01.pdb,0.066,0.125,0.000,0.488,0.018,0.000,0.000,0.000,0.467,0.354,0.250,0.016,0.348,0.226,0.015,0.000,0.000,0.000,0.000,0.119
model.000.02.pdb,0.057,0.169,0.038,0.000,0.000,0.444,0.577,0.092,0.000,0.028,0.013,0.043,0.014,0.024,0.013,0.396,0.105,0.118,0.093,0.151
model.000.03.pdb,0.164,0.013,0.412,0.000,0.213,0.172,0.059,0.605,0.000,0.000,0.030,0.286,0.000,0.042,0.367,0.255,0.510,0.320,0.532,0.057
model.000.04.pdb,0.143,0.111,0.059,0.658,0.118,0.000,0.000,0.000,0.354,0.280,0.255,0.086,0.298,0.293,0.081,0.000,0.000,0.000,0.000,0.138
model.000.05.pdb,0.000,0.000,0.200,0.000,0.118,0.097,0.029,0.452,0.000,0.000,0.000,0.086,0.000,0.000,0.196,0.143,0.213,0.347,0.220,0.000
model.000.06.pdb,0.000,0.000,0.197,0.000,0.115,0.131,0.043,0.442,0.000,0.000,0.000,0.085,0.000,0.000,0.193,0.161,0.210,0.426,0.237,0.000
model.000.07.pdb,0.000,0.049,0.000,0.150,0.000,0.014,0.054,0.000,0.246,0.273,0.119,0.000,0.175,0.080,0.000,0.000,0.000,0.000,0.000,0.013
model.000.08.pdb,0.015,0.000,0.222,0.000,0.088,0.177,0.055,0.435,0.000,0.000,0.000,0.079,0.000,0.000,0.180,0.211,0.254,0.392,0.283,0.000
model.000.09.pdb,0.206,0.296,0.091,0.531,0.131,0.000,0.000,0.000,0.426,0.407,0.397,0.103,0.490,0.500,0.113,0.000,0.024,0.000,0.024,0.365
model.000.10.pdb,0.000,0.000,0.000,0.000,0.000,0.197,0.185,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.113,0.000,0.392,0.000,0.000
model.000.11.pdb,0.013,0.000,0.091,0.000,0.000,0.311,0.183,0.237,0.000,0.000,0.000,0.027,0.000,0.000,0.068,0.333,0.132,0.625,0.135,0.000
model.000.12.pdb,0.000,0.000,0.101,0.000,0.017,0.200,0.101,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.092,0.236,0.147,0.591,0.152,0.000
model.000.13.pdb,0.143,0.039,0.309,0.000,0.118,0.193,0.108,0.564,0.000,0.000,0.030,0.189,0.000,0.027,0.264,0.333,0.451,0.347,0.440,0.057
model.000.14.pdb,0.088,0.026,0.186,0.000,0.019,0.435,0.250,0.341,0.000,0.000,0.000,0.089,0.000,0.000,0.140,0.632,0.309,0.362,0.296,0.029
model.000.15.pdb,0.121,0.452,0.000,0.028,0.000,0.083,0.188,0.000,0.119,0.194,0.215,0.014,0.203,0.214,0.000,0.072,0.024,0.000,0.012,0.377
model.000.16.pdb,0.365,0.279,0.113,0.489,0.185,0.000,0.000,0.015,0.309,0.246,0.434,0.167,0.333,0.519,0.156,0.000,0.080,0.000,0.053,0.373
model.000.17.pdb,0.423,0.286,0.139,0.460,0.196,0.000,0.012,0.014,0.293,0.233,0.463,0.177,0.291,0.545,0.167,0.014,0.105,0.000,0.079,0.377
model.000.18.pdb,0.000,0.000,0.000,0.000,0.000,0.046,0.059,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.119,0.000,0.000
model.000.19.pdb,0.292,0.054,0.458,0.000,0.279,0.200,0.129,0.372,0.000,0.000,0.063,0.386,0.000,0.090,0.383,0.319,0.532,0.103,0.522,0.125
