 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.125,0.000,0.028,0.306,0.032,0.185,0.182,0.000,0.169,0.056,0.000,0.056,0.062,0.255,0.127,0.028,0.127,0.156,0.000,0.409
model.000.01.pdb,0.000,0.118,0.000,0.098,0.333,0.000,0.000,0.000,0.000,0.308,0.000,0.000,0.000,0.037,0.000,0.000,0.400,0.404,0.000,0.200
model.000.02.pdb,0.304,0.000,0.105,0.423,0.042,0.138,0.136,0.000,0.179,0.062,0.000,0.089,0.099,0.396,0.263,0.050,0.141,0.183,0.000,0.565
model.000.03.pdb,0.071,0.041,0.024,0.070,0.013,0.226,0.262,0.038,0.286,0.000,0.620,0.443,0.356,0.086,0.042,0.000,0.000,0.000,0.551,0.000
model.000.04.pdb,0.228,0.000,0.025,0.449,0.029,0.340,0.333,0.000,0.288,0.051,0.027,0.137,0.190,0.365,0.190,0.000,0.083,0.095,0.014,0.380
model.000.05.pdb,0.000,0.306,0.028,0.000,0.235,0.000,0.000,0.169,0.000,0.471,0.000,0.000,0.000,0.000,0.000,0.217,0.273,0.281,0.000,0.000
model.000.06.pdb,0.148,0.043,0.066,0.203,0.109,0.014,0.014,0.000,0.027,0.153,0.000,0.012,0.000,0.164,0.095,0.110,0.300,0.373,0.000,0.353
model.000.07.pdb,0.236,0.014,0.039,0.468,0.095,0.232,0.207,0.000,0.213,0.141,0.000,0.095,0.141,0.353,0.218,0.000,0.152,0.162,0.000,0.457
model.000.08.pdb,0.211,0.000,0.053,0.250,0.000,0.628,0.690,0.000,0.596,0.025,0.271,0.367,0.480,0.273,0.153,0.000,0.000,0.000,0.148,0.046
model.000.09.pdb,0.000,0.240,0.000,0.017,0.488,0.000,0.000,0.015,0.000,0.460,0.000,0.000,0.000,0.000,0.000,0.014,0.478,0.449,0.000,0.093
model.000.10.pdb,0.000,0.273,0.026,0.000,0.232,0.000,0.000,0.172,0.000,0.473,0.000,0.000,0.000,0.000,0.000,0.274,0.288,0.317,0.000,0.000
model.000.11.pdb,0.000,0.212,0.000,0.000,0.265,0.088,0.033,0.030,0.047,0.213,0.117,0.088,0.048,0.000,0.000,0.000,0.190,0.143,0.170,0.000
model.000.12.pdb,0.000,0.578,0.000,0.000,0.429,0.000,0.000,0.333,0.000,0.344,0.000,0.000,0.000,0.000,0.000,0.096,0.283,0.250,0.000,0.000
model.000.13.pdb,0.000,0.312,0.014,0.000,0.292,0.000,0.000,0.193,0.000,0.423,0.000,0.000,0.000,0.000,0.000,0.180,0.302,0.309,0.000,0.000
model.000.14.pdb,0.000,0.302,0.000,0.000,0.308,0.062,0.015,0.138,0.028,0.194,0.106,0.081,0.043,0.000,0.000,0.000,0.172,0.130,0.214,0.000
model.000.15.pdb,0.000,0.447,0.000,0.000,0.523,0.031,0.000,0.123,0.000,0.339,0.043,0.000,0.000,0.000,0.000,0.013,0.321,0.242,0.063,0.000
model.000.16.pdb,0.026,0.143,0.187,0.013,0.129,0.000,0.000,0.037,0.000,0.300,0.000,0.000,0.000,0.039,0.027,0.435,0.303,0.328,0.000,0.041
model.000.17.pdb,0.345,0.000,0.149,0.389,0.027,0.119,0.134,0.000,0.176,0.061,0.000,0.101,0.113,0.389,0.304,0.076,0.155,0.197,0.000,0.622
model.000.18.pdb,0.000,0.293,0.000,0.014,0.298,0.000,0.000,0.143,0.000,0.509,0.000,0.000,0.000,0.014,0.000,0.217,0.500,0.474,0.000,0.043
model.000.19.pdb,0.109,0.043,0.025,0.125,0.014,0.309,0.352,0.013,0.351,0.000,0.571,0.500,0.434,0.143,0.077,0.000,0.000,0.000,0.469,0.000
