 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.490,0.000,0.135,0.609,0.000,0.254,0.271,0.000,0.317,0.024,0.013,0.178,0.219,0.609,0.385,0.024,0.066,0.091,0.000,0.600
model.000.01.pdb,0.658,0.000,0.233,0.641,0.000,0.333,0.354,0.000,0.380,0.000,0.062,0.310,0.333,0.684,0.632,0.028,0.000,0.000,0.000,0.476
model.000.02.pdb,0.304,0.000,0.500,0.156,0.000,0.088,0.119,0.039,0.162,0.000,0.254,0.323,0.200,0.194,0.385,0.091,0.000,0.000,0.088,0.200
model.000.03.pdb,0.067,0.031,0.154,0.016,0.000,0.016,0.048,0.164,0.077,0.000,0.458,0.242,0.190,0.016,0.068,0.014,0.000,0.000,0.444,0.000
model.000.04.pdb,0.148,0.000,0.025,0.203,0.000,0.479,0.565,0.000,0.583,0.000,0.434,0.482,0.500,0.224,0.131,0.000,0.000,0.000,0.291,0.045
model.000.05.pdb,0.091,0.000,0.224,0.034,0.000,0.034,0.051,0.098,0.065,0.000,0.375,0.217,0.182,0.034,0.135,0.044,0.000,0.000,0.220,0.000
model.000.06.pdb,0.069,0.039,0.023,0.083,0.013,0.279,0.295,0.050,0.297,0.000,0.596,0.429,0.367,0.099,0.041,0.000,0.000,0.000,0.560,0.000
model.000.07.pdb,0.476,0.000,0.141,0.658,0.000,0.465,0.488,0.000,0.545,0.000,0.079,0.316,0.367,0.615,0.452,0.000,0.000,0.000,0.016,0.356
model.000.08.pdb,0.400,0.000,0.104,0.641,0.000,0.524,0.548,0.000,0.533,0.000,0.078,0.288,0.360,0.600,0.378,0.000,0.000,0.000,0.016,0.348
model.000.09.pdb,0.000,0.471,0.024,0.000,0.345,0.000,0.000,0.404,0.000,0.410,0.000,0.000,0.000,0.000,0.000,0.200,0.246,0.235,0.028,0.000
model.000.10.pdb,0.000,0.298,0.025,0.043,0.304,0.000,0.000,0.145,0.000,0.574,0.000,0.000,0.000,0.028,0.000,0.169,0.429,0.431,0.000,0.109
model.000.11.pdb,0.211,0.000,0.067,0.400,0.061,0.167,0.164,0.000,0.190,0.093,0.000,0.079,0.088,0.321,0.193,0.013,0.149,0.159,0.000,0.511
model.000.12.pdb,0.525,0.000,0.241,0.378,0.000,0.292,0.340,0.000,0.367,0.000,0.241,0.542,0.435,0.442,0.538,0.000,0.000,0.000,0.033,0.224
model.000.13.pdb,0.037,0.133,0.146,0.050,0.151,0.000,0.000,0.047,0.000,0.391,0.000,0.000,0.000,0.063,0.038,0.362,0.358,0.403,0.000,0.139
model.000.14.pdb,0.050,0.083,0.088,0.016,0.032,0.032,0.083,0.148,0.095,0.000,0.500,0.206,0.193,0.016,0.051,0.000,0.000,0.000,0.600,0.000
model.000.15.pdb,0.123,0.056,0.151,0.088,0.072,0.000,0.000,0.039,0.000,0.211,0.000,0.012,0.000,0.138,0.108,0.355,0.266,0.273,0.000,0.200
model.000.16.pdb,0.488,0.000,0.172,0.625,0.000,0.354,0.375,0.000,0.373,0.000,0.029,0.242,0.232,0.625,0.465,0.014,0.014,0.014,0.000,0.537
model.000.17.pdb,0.333,0.014,0.122,0.521,0.043,0.177,0.194,0.000,0.238,0.062,0.000,0.133,0.149,0.431,0.315,0.000,0.096,0.107,0.000,0.614
model.000.18.pdb,0.385,0.000,0.137,0.553,0.043,0.237,0.254,0.000,0.300,0.062,0.000,0.149,0.167,0.521,0.365,0.012,0.096,0.122,0.000,0.651
model.000.19.pdb,0.676,0.000,0.217,0.658,0.000,0.400,0.422,0.000,0.447,0.000,0.079,0.293,0.367,0.853,0.605,0.028,0.000,0.014,0.000,0.452
