 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.000,0.169,0.197,0.370,0.000,0.000,0.000,0.185,0.000,0.000,0.258,0.000,0.000,0.159,0.250,0.000,0.322,0.161,0.294
model.000.01.pdb,0.000,0.000,0.000,0.417,0.232,0.000,0.000,0.138,0.500,0.000,0.321,0.141,0.000,0.000,0.172,0.000,0.000,0.043,0.000,0.017
model.000.02.pdb,0.490,0.373,0.065,0.000,0.000,0.365,0.540,0.115,0.000,0.440,0.043,0.000,0.370,0.549,0.000,0.031,0.453,0.014,0.033,0.000
model.000.03.pdb,0.000,0.027,0.271,0.121,0.245,0.048,0.014,0.000,0.113,0.015,0.000,0.228,0.000,0.000,0.161,0.378,0.000,0.273,0.239,0.349
model.000.04.pdb,0.451,0.547,0.117,0.000,0.000,0.636,0.733,0.015,0.000,0.553,0.014,0.000,0.271,0.250,0.000,0.062,0.625,0.086,0.033,0.000
model.000.05.pdb,0.108,0.205,0.024,0.011,0.059,0.139,0.129,0.061,0.033,0.167,0.096,0.000,0.134,0.065,0.000,0.000,0.171,0.516,0.000,0.000
model.000.06.pdb,0.000,0.027,0.170,0.065,0.196,0.063,0.014,0.000,0.061,0.015,0.000,0.092,0.000,0.000,0.058,0.212,0.000,0.449,0.115,0.157
model.000.07.pdb,0.035,0.015,0.238,0.000,0.000,0.056,0.125,0.000,0.000,0.036,0.000,0.151,0.017,0.102,0.086,0.178,0.125,0.000,0.333,0.140
model.000.08.pdb,0.000,0.000,0.463,0.123,0.182,0.016,0.000,0.000,0.079,0.000,0.000,0.380,0.000,0.000,0.224,0.694,0.000,0.045,0.514,0.676
model.000.09.pdb,0.063,0.119,0.500,0.000,0.016,0.250,0.183,0.000,0.000,0.138,0.000,0.078,0.015,0.014,0.014,0.386,0.127,0.095,0.244,0.163
model.000.10.pdb,0.000,0.000,0.311,0.189,0.255,0.000,0.000,0.000,0.155,0.000,0.000,0.545,0.000,0.000,0.346,0.538,0.000,0.046,0.571,0.750
model.000.11.pdb,0.000,0.032,0.316,0.000,0.038,0.100,0.017,0.000,0.000,0.018,0.000,0.054,0.000,0.000,0.000,0.275,0.000,0.229,0.179,0.146
model.000.12.pdb,0.000,0.000,0.000,0.590,0.465,0.000,0.000,0.017,0.610,0.000,0.143,0.288,0.000,0.000,0.211,0.073,0.000,0.081,0.038,0.122
model.000.13.pdb,0.000,0.000,0.327,0.190,0.321,0.014,0.000,0.000,0.197,0.000,0.000,0.423,0.000,0.000,0.333,0.435,0.000,0.104,0.326,0.512
model.000.14.pdb,0.448,0.508,0.149,0.000,0.000,0.547,0.692,0.068,0.000,0.509,0.037,0.000,0.349,0.286,0.000,0.099,0.544,0.089,0.043,0.014
model.000.15.pdb,0.556,0.444,0.000,0.000,0.000,0.236,0.298,0.354,0.000,0.438,0.190,0.000,0.651,0.551,0.000,0.000,0.345,0.043,0.000,0.000
model.000.16.pdb,0.000,0.052,0.610,0.000,0.014,0.127,0.132,0.000,0.000,0.043,0.000,0.119,0.000,0.000,0.069,0.457,0.085,0.042,0.319,0.212
model.000.17.pdb,0.468,0.604,0.000,0.000,0.000,0.340,0.460,0.143,0.000,0.581,0.115,0.000,0.591,0.442,0.000,0.000,0.521,0.076,0.000,0.000
model.000.18.pdb,0.281,0.364,0.172,0.000,0.000,0.538,0.483,0.013,0.000,0.397,0.000,0.000,0.186,0.143,0.000,0.101,0.410,0.151,0.044,0.000
model.000.19.pdb,0.442,0.509,0.097,0.000,0.000,0.587,0.681,0.061,0.000,0.480,0.028,0.000,0.246,0.266,0.000,0.045,0.519,0.100,0.032,0.000
