 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.000,0.000,0.455,0.014,0.688,0.179,0.027,0.065,0.000,0.121,0.000,0.032,0.000,0.000,0.596,0.305,0.067,0.520,0.435,0.673
model.000.01.pdb,0.000,0.000,0.288,0.000,0.214,0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.238,0.684,0.000,0.465,0.118,0.211
model.000.02.pdb,0.000,0.000,0.312,0.000,0.231,0.000,0.000,0.581,0.075,0.188,0.120,0.000,0.000,0.016,0.213,0.034,0.212,0.054,0.200,0.226
model.000.03.pdb,0.619,0.068,0.000,0.538,0.000,0.091,0.386,0.000,0.283,0.093,0.318,0.195,0.267,0.422,0.000,0.000,0.102,0.000,0.000,0.000
model.000.04.pdb,0.000,0.000,0.600,0.000,0.421,0.065,0.000,0.082,0.000,0.088,0.000,0.000,0.000,0.000,0.400,0.375,0.053,0.382,0.290,0.464
model.000.05.pdb,0.510,0.169,0.000,0.347,0.000,0.098,0.288,0.000,0.226,0.032,0.231,0.100,0.400,0.346,0.000,0.000,0.060,0.000,0.000,0.000
model.000.06.pdb,0.000,0.000,0.596,0.000,0.551,0.080,0.000,0.130,0.000,0.150,0.000,0.000,0.000,0.000,0.536,0.333,0.103,0.420,0.377,0.540
model.000.07.pdb,0.222,0.000,0.042,0.327,0.119,0.033,0.207,0.111,0.545,0.417,0.314,0.289,0.031,0.377,0.181,0.000,0.542,0.000,0.186,0.118
model.000.08.pdb,0.000,0.000,0.397,0.027,0.745,0.176,0.041,0.117,0.014,0.210,0.000,0.066,0.000,0.013,0.614,0.219,0.141,0.426,0.552,0.660
model.000.09.pdb,0.139,0.000,0.162,0.213,0.270,0.065,0.172,0.226,0.259,0.622,0.143,0.286,0.000,0.182,0.343,0.000,0.646,0.042,0.333,0.266
model.000.10.pdb,0.070,0.224,0.000,0.046,0.000,0.000,0.015,0.135,0.155,0.000,0.245,0.000,0.204,0.180,0.000,0.000,0.043,0.000,0.000,0.000
model.000.11.pdb,0.135,0.000,0.052,0.101,0.262,0.471,0.242,0.000,0.014,0.230,0.000,0.182,0.000,0.026,0.227,0.054,0.080,0.116,0.406,0.239
model.000.12.pdb,0.157,0.000,0.083,0.259,0.197,0.078,0.194,0.231,0.385,0.600,0.246,0.319,0.000,0.242,0.271,0.000,0.560,0.014,0.261,0.212
model.000.13.pdb,0.026,0.271,0.055,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.029,0.000,0.131,0.056,0.000,0.057,0.000,0.000,0.000,0.013
model.000.14.pdb,0.176,0.012,0.063,0.145,0.250,0.635,0.290,0.000,0.000,0.114,0.000,0.153,0.027,0.012,0.234,0.110,0.024,0.231,0.310,0.194
model.000.15.pdb,0.444,0.090,0.000,0.400,0.000,0.033,0.224,0.052,0.408,0.113,0.545,0.113,0.288,0.644,0.000,0.000,0.154,0.000,0.000,0.000
model.000.16.pdb,0.188,0.315,0.000,0.097,0.000,0.011,0.045,0.000,0.098,0.000,0.179,0.000,0.477,0.200,0.000,0.000,0.000,0.000,0.000,0.000
model.000.17.pdb,0.125,0.246,0.000,0.123,0.000,0.000,0.028,0.049,0.161,0.014,0.246,0.000,0.250,0.305,0.000,0.000,0.054,0.000,0.000,0.000
model.000.18.pdb,0.130,0.304,0.000,0.061,0.000,0.000,0.014,0.089,0.131,0.000,0.236,0.000,0.314,0.233,0.000,0.000,0.042,0.000,0.000,0.000
model.000.19.pdb,0.068,0.000,0.169,0.109,0.262,0.044,0.108,0.319,0.207,0.458,0.150,0.176,0.000,0.119,0.338,0.000,0.462,0.043,0.371,0.258
