 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.667,0.000,0.440,0.235,0.237,0.393,0.000,0.415,0.056,0.063,0.222,0.172,0.159,0.200,0.051,0.385,0.028,0.500,0.088,0.565
model.000.01.pdb,0.119,0.000,0.015,0.274,0.478,0.141,0.000,0.186,0.000,0.000,0.385,0.000,0.471,0.000,0.000,0.218,0.447,0.106,0.533,0.015
model.000.02.pdb,0.000,0.527,0.000,0.000,0.000,0.000,0.420,0.000,0.177,0.246,0.000,0.059,0.000,0.000,0.231,0.000,0.000,0.000,0.000,0.000
model.000.03.pdb,0.500,0.000,0.455,0.188,0.140,0.346,0.000,0.367,0.097,0.101,0.131,0.288,0.091,0.289,0.071,0.280,0.016,0.458,0.031,0.561
model.000.04.pdb,0.013,0.574,0.000,0.000,0.000,0.000,0.241,0.000,0.156,0.519,0.000,0.141,0.000,0.000,0.528,0.000,0.000,0.000,0.000,0.061
model.000.05.pdb,0.247,0.120,0.035,0.000,0.072,0.022,0.000,0.083,0.000,0.266,0.022,0.058,0.011,0.000,0.253,0.048,0.171,0.056,0.154,0.294
model.000.06.pdb,0.622,0.000,0.250,0.100,0.100,0.183,0.000,0.236,0.030,0.132,0.077,0.193,0.043,0.157,0.118,0.204,0.015,0.268,0.047,0.912
model.000.07.pdb,0.000,0.094,0.078,0.031,0.000,0.017,0.213,0.018,0.553,0.000,0.000,0.160,0.016,0.225,0.119,0.000,0.000,0.052,0.000,0.000
model.000.08.pdb,0.203,0.000,0.537,0.230,0.085,0.353,0.000,0.245,0.241,0.042,0.115,0.404,0.109,0.583,0.042,0.167,0.000,0.438,0.000,0.167
model.000.09.pdb,0.145,0.114,0.125,0.027,0.000,0.095,0.066,0.015,0.314,0.316,0.000,0.650,0.000,0.163,0.298,0.016,0.000,0.113,0.000,0.235
model.000.10.pdb,0.186,0.000,0.590,0.321,0.105,0.478,0.000,0.300,0.269,0.000,0.196,0.275,0.186,0.600,0.000,0.240,0.000,0.478,0.016,0.107
model.000.11.pdb,0.298,0.000,0.152,0.048,0.000,0.113,0.000,0.077,0.096,0.182,0.000,0.333,0.000,0.175,0.164,0.060,0.000,0.135,0.000,0.514
model.000.12.pdb,0.232,0.000,0.173,0.327,0.722,0.367,0.000,0.391,0.000,0.000,0.650,0.000,0.533,0.038,0.000,0.488,0.216,0.288,0.432,0.070
model.000.13.pdb,0.310,0.000,0.619,0.379,0.169,0.574,0.000,0.420,0.161,0.039,0.237,0.268,0.206,0.378,0.039,0.333,0.000,0.609,0.029,0.259
model.000.14.pdb,0.000,0.532,0.000,0.000,0.000,0.000,0.206,0.000,0.200,0.559,0.000,0.221,0.000,0.000,0.517,0.000,0.000,0.000,0.000,0.067
model.000.15.pdb,0.000,0.397,0.000,0.000,0.000,0.000,0.236,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.069,0.000,0.031,0.000,0.000,0.000
model.000.16.pdb,0.132,0.077,0.190,0.066,0.000,0.136,0.092,0.043,0.431,0.157,0.000,0.565,0.013,0.235,0.176,0.015,0.000,0.154,0.000,0.150
model.000.17.pdb,0.000,0.538,0.000,0.000,0.000,0.000,0.155,0.000,0.015,0.351,0.000,0.000,0.000,0.000,0.226,0.000,0.015,0.000,0.000,0.000
model.000.18.pdb,0.049,0.368,0.000,0.000,0.000,0.000,0.159,0.000,0.188,0.579,0.000,0.227,0.000,0.014,0.618,0.000,0.013,0.000,0.000,0.130
model.000.19.pdb,0.000,0.593,0.000,0.000,0.000,0.000,0.281,0.000,0.136,0.456,0.000,0.138,0.000,0.000,0.577,0.000,0.000,0.000,0.000,0.060
