 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.209,0.420,0.620,0.180,0.200,0.214,0.149,0.296,0.268,0.000,0.000,0.100,0.605,0.022,0.109,0.052,0.263,0.159,0.176,0.346
model.000.01.pdb,0.000,0.000,0.134,0.558,0.159,0.312,0.379,0.000,0.000,0.056,0.000,0.000,0.032,0.000,0.650,0.000,0.000,0.000,0.000,0.000
model.000.02.pdb,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.279,0.571,0.138,0.000,0.375,0.000,0.238,0.015,0.100,0.100,0.000
model.000.03.pdb,0.327,0.575,0.431,0.085,0.167,0.154,0.085,0.378,0.340,0.000,0.000,0.131,0.649,0.037,0.068,0.090,0.422,0.241,0.286,0.550
model.000.04.pdb,0.129,0.030,0.013,0.000,0.000,0.000,0.000,0.015,0.015,0.197,0.472,0.172,0.000,0.679,0.000,0.519,0.045,0.130,0.164,0.046
model.000.05.pdb,0.043,0.087,0.276,0.073,0.000,0.120,0.010,0.024,0.012,0.128,0.091,0.011,0.090,0.244,0.036,0.276,0.060,0.032,0.043,0.062
model.000.06.pdb,0.213,0.391,0.644,0.083,0.044,0.173,0.026,0.235,0.185,0.000,0.000,0.111,0.442,0.077,0.049,0.121,0.275,0.177,0.197,0.340
model.000.07.pdb,0.164,0.059,0.000,0.000,0.151,0.000,0.062,0.152,0.227,0.000,0.125,0.395,0.000,0.104,0.000,0.032,0.196,0.260,0.235,0.060
model.000.08.pdb,0.469,0.550,0.161,0.033,0.302,0.035,0.134,0.794,0.722,0.000,0.000,0.283,0.395,0.000,0.016,0.014,0.537,0.365,0.420,0.605
model.000.09.pdb,0.565,0.378,0.161,0.000,0.045,0.000,0.000,0.271,0.292,0.000,0.109,0.478,0.176,0.171,0.000,0.333,0.465,0.479,0.543,0.386
model.000.10.pdb,0.315,0.386,0.145,0.051,0.447,0.055,0.210,0.538,0.649,0.000,0.000,0.218,0.372,0.000,0.034,0.000,0.476,0.250,0.296,0.429
model.000.11.pdb,0.319,0.529,0.348,0.000,0.017,0.000,0.000,0.308,0.268,0.000,0.000,0.184,0.282,0.075,0.000,0.170,0.432,0.298,0.326,0.457
model.000.12.pdb,0.029,0.071,0.228,0.694,0.288,0.500,0.396,0.054,0.053,0.000,0.000,0.000,0.208,0.000,0.500,0.000,0.034,0.000,0.000,0.073
model.000.13.pdb,0.328,0.523,0.283,0.115,0.370,0.103,0.227,0.535,0.523,0.000,0.000,0.197,0.512,0.000,0.081,0.027,0.388,0.267,0.310,0.535
model.000.14.pdb,0.219,0.068,0.023,0.000,0.000,0.000,0.000,0.040,0.039,0.236,0.492,0.232,0.000,0.623,0.000,0.534,0.096,0.189,0.222,0.068
model.000.15.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.705,0.510,0.000,0.000,0.269,0.000,0.172,0.000,0.000,0.000,0.000
model.000.16.pdb,0.660,0.333,0.099,0.000,0.103,0.000,0.051,0.367,0.360,0.000,0.100,0.542,0.158,0.114,0.000,0.182,0.408,0.674,0.711,0.340
model.000.17.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.423,0.521,0.000,0.000,0.448,0.000,0.298,0.000,0.014,0.014,0.000
model.000.18.pdb,0.225,0.085,0.074,0.000,0.000,0.000,0.000,0.041,0.041,0.115,0.323,0.258,0.014,0.565,0.000,0.582,0.099,0.211,0.246,0.086
model.000.19.pdb,0.127,0.029,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.436,0.152,0.000,0.667,0.000,0.429,0.044,0.129,0.162,0.045
