 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,1.000,0.000,0.000,0.000,0.000,0.521,0.000,0.000,0.101,0.111,0.000,0.000,0.278,0.628,0.000,0.014,0.000,0.127,0.000,0.219
model.000.01.pdb,0.000,1.000,0.327,0.816,0.306,0.000,0.189,0.447,0.175,0.300,0.066,0.386,0.000,0.000,0.042,0.000,0.370,0.000,0.333,0.000
model.000.02.pdb,0.000,0.327,1.000,0.298,0.500,0.000,0.360,0.404,0.026,0.051,0.147,0.615,0.029,0.000,0.129,0.013,0.097,0.066,0.558,0.052
model.000.03.pdb,0.000,0.816,0.298,1.000,0.250,0.000,0.185,0.353,0.172,0.317,0.065,0.404,0.000,0.000,0.042,0.000,0.391,0.000,0.305,0.000
model.000.04.pdb,0.000,0.306,0.500,0.250,1.000,0.000,0.513,0.600,0.061,0.057,0.262,0.339,0.000,0.000,0.207,0.000,0.035,0.018,0.385,0.000
model.000.05.pdb,0.521,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.013,0.095,0.000,0.000,0.489,0.511,0.000,0.013,0.031,0.286,0.026,0.274
model.000.06.pdb,0.000,0.189,0.360,0.185,0.513,0.000,1.000,0.537,0.030,0.014,0.382,0.254,0.000,0.000,0.353,0.046,0.036,0.000,0.315,0.000
model.000.07.pdb,0.000,0.447,0.404,0.353,0.600,0.000,0.537,1.000,0.088,0.130,0.266,0.295,0.000,0.000,0.213,0.014,0.068,0.000,0.357,0.000
model.000.08.pdb,0.101,0.175,0.026,0.172,0.061,0.013,0.030,0.088,1.000,0.355,0.048,0.000,0.000,0.042,0.053,0.000,0.095,0.000,0.012,0.000
model.000.09.pdb,0.111,0.300,0.051,0.317,0.057,0.095,0.014,0.130,0.355,1.000,0.011,0.113,0.055,0.068,0.000,0.000,0.327,0.077,0.103,0.012
model.000.10.pdb,0.000,0.066,0.147,0.065,0.262,0.000,0.382,0.266,0.048,0.011,1.000,0.095,0.000,0.013,0.642,0.246,0.000,0.000,0.127,0.023
model.000.11.pdb,0.000,0.386,0.615,0.404,0.339,0.000,0.254,0.295,0.000,0.113,0.095,1.000,0.054,0.000,0.090,0.000,0.254,0.109,0.611,0.074
model.000.12.pdb,0.278,0.000,0.029,0.000,0.000,0.489,0.000,0.000,0.000,0.055,0.000,0.054,1.000,0.288,0.000,0.075,0.051,0.475,0.071,0.415
model.000.13.pdb,0.628,0.000,0.000,0.000,0.000,0.511,0.000,0.000,0.042,0.068,0.013,0.000,0.288,1.000,0.000,0.043,0.000,0.111,0.000,0.267
model.000.14.pdb,0.000,0.042,0.129,0.042,0.207,0.000,0.353,0.213,0.053,0.000,0.642,0.090,0.000,0.000,1.000,0.197,0.000,0.000,0.139,0.012
model.000.15.pdb,0.014,0.000,0.013,0.000,0.000,0.013,0.046,0.014,0.000,0.000,0.246,0.000,0.075,0.043,0.197,1.000,0.000,0.016,0.013,0.227
model.000.16.pdb,0.000,0.370,0.097,0.391,0.035,0.031,0.036,0.068,0.095,0.327,0.000,0.254,0.051,0.000,0.000,0.000,1.000,0.196,0.291,0.014
model.000.17.pdb,0.127,0.000,0.066,0.000,0.018,0.286,0.000,0.000,0.000,0.077,0.000,0.109,0.475,0.111,0.000,0.016,0.196,1.000,0.193,0.259
model.000.18.pdb,0.000,0.333,0.558,0.305,0.385,0.026,0.315,0.357,0.012,0.103,0.127,0.611,0.071,0.000,0.139,0.013,0.291,0.193,1.000,0.063
model.000.19.pdb,0.219,0.000,0.052,0.000,0.000,0.274,0.000,0.000,0.000,0.012,0.023,0.074,0.415,0.267,0.012,0.227,0.014,0.259,0.063,1.000
