 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.087,0.340,0.053,0.000,0.014,0.000,0.270,0.000,0.298,0.274,0.212,0.145
model.000.01.pdb,0.000,0.378,0.106,0.558,0.197,0.157,0.643,0.051,0.000,0.045,0.328,0.185,0.241,0.409,0.000,0.449,0.000,0.000,0.000,0.015
model.000.02.pdb,0.000,0.558,0.130,0.500,0.529,0.483,0.213,0.031,0.084,0.000,0.051,0.608,0.453,0.634,0.037,0.152,0.027,0.025,0.037,0.000
model.000.03.pdb,0.015,0.340,0.072,0.511,0.194,0.155,0.628,0.050,0.000,0.061,0.345,0.182,0.237,0.370,0.000,0.440,0.000,0.000,0.000,0.029
model.000.04.pdb,0.033,0.611,0.302,0.432,0.327,0.242,0.204,0.137,0.025,0.000,0.058,0.281,0.236,0.611,0.000,0.241,0.000,0.000,0.000,0.000
model.000.05.pdb,0.000,0.000,0.000,0.000,0.027,0.024,0.000,0.000,0.158,0.263,0.013,0.013,0.071,0.000,0.373,0.000,0.500,0.356,0.350,0.029
model.000.06.pdb,0.033,0.541,0.388,0.292,0.333,0.246,0.123,0.118,0.067,0.000,0.014,0.286,0.196,0.425,0.000,0.119,0.000,0.000,0.000,0.000
model.000.07.pdb,0.031,0.632,0.327,0.396,0.281,0.191,0.327,0.127,0.024,0.000,0.132,0.222,0.200,0.512,0.000,0.340,0.000,0.000,0.000,0.015
model.000.08.pdb,0.352,0.030,0.162,0.028,0.000,0.000,0.293,0.333,0.000,0.250,0.596,0.000,0.000,0.030,0.000,0.375,0.000,0.000,0.000,0.415
model.000.09.pdb,0.055,0.059,0.037,0.149,0.012,0.022,0.386,0.075,0.000,0.339,0.582,0.012,0.051,0.059,0.035,0.350,0.065,0.024,0.023,0.113
model.000.10.pdb,0.194,0.210,0.536,0.111,0.147,0.146,0.038,0.210,0.140,0.000,0.011,0.139,0.049,0.154,0.000,0.091,0.000,0.023,0.034,0.079
model.000.11.pdb,0.000,0.377,0.091,0.660,0.585,0.533,0.270,0.014,0.079,0.000,0.114,0.600,0.566,0.460,0.047,0.171,0.037,0.035,0.060,0.000
model.000.12.pdb,0.000,0.000,0.000,0.000,0.091,0.127,0.000,0.000,0.273,0.115,0.000,0.086,0.145,0.000,0.540,0.000,0.614,0.462,0.571,0.000
model.000.13.pdb,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.133,0.255,0.027,0.000,0.014,0.000,0.322,0.000,0.385,0.375,0.238,0.095
model.000.14.pdb,0.159,0.172,0.519,0.090,0.145,0.145,0.014,0.193,0.152,0.000,0.025,0.137,0.054,0.133,0.000,0.085,0.000,0.012,0.024,0.071
model.000.15.pdb,0.059,0.000,0.068,0.000,0.026,0.075,0.000,0.000,0.406,0.000,0.000,0.051,0.000,0.000,0.186,0.000,0.055,0.224,0.221,0.042
model.000.16.pdb,0.000,0.075,0.000,0.292,0.153,0.188,0.362,0.000,0.013,0.067,0.241,0.143,0.288,0.118,0.028,0.200,0.047,0.014,0.043,0.000
model.000.17.pdb,0.000,0.000,0.000,0.054,0.161,0.197,0.000,0.000,0.203,0.017,0.000,0.131,0.280,0.019,0.373,0.000,0.391,0.232,0.373,0.000
model.000.18.pdb,0.000,0.429,0.110,0.562,0.588,0.561,0.222,0.000,0.094,0.000,0.090,0.518,0.633,0.522,0.075,0.145,0.067,0.049,0.075,0.000
model.000.19.pdb,0.000,0.000,0.000,0.000,0.141,0.171,0.000,0.000,0.500,0.069,0.000,0.149,0.127,0.000,0.623,0.000,0.404,0.735,0.564,0.000
