 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.409,0.083,0.628,0.000,0.486,0.031,0.014,0.372,0.000,0.000,0.081,0.564,0.000,0.123,0.711,0.088,0.600,0.049,0.489,0.161
model.000.01.pdb,0.317,0.094,0.265,0.262,0.424,0.000,0.000,0.062,0.078,0.019,0.157,0.325,0.085,0.226,0.295,0.000,0.143,0.000,0.127,0.185
model.000.02.pdb,0.440,0.143,0.569,0.000,0.327,0.086,0.053,0.353,0.000,0.000,0.116,0.479,0.015,0.153,0.562,0.161,0.673,0.072,0.569,0.206
model.000.03.pdb,0.000,0.000,0.012,0.000,0.000,0.099,0.065,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.042,0.012,0.288,0.025,0.000
model.000.04.pdb,0.255,0.037,0.638,0.000,0.476,0.058,0.013,0.535,0.000,0.000,0.057,0.478,0.000,0.081,0.636,0.113,0.646,0.183,0.571,0.097
model.000.05.pdb,0.130,0.400,0.000,0.277,0.038,0.000,0.000,0.000,0.512,0.564,0.500,0.034,0.758,0.469,0.016,0.000,0.000,0.000,0.000,0.340
model.000.06.pdb,0.725,0.232,0.375,0.062,0.348,0.014,0.027,0.138,0.045,0.015,0.233,0.478,0.082,0.270,0.440,0.062,0.411,0.000,0.305,0.339
model.000.07.pdb,0.314,0.051,0.667,0.065,0.500,0.060,0.000,0.422,0.015,0.000,0.075,0.535,0.016,0.114,0.750,0.117,0.540,0.113,0.531,0.132
model.000.08.pdb,0.000,0.000,0.152,0.000,0.089,0.091,0.041,0.300,0.000,0.000,0.000,0.081,0.000,0.000,0.145,0.097,0.130,0.373,0.152,0.000
model.000.09.pdb,0.229,0.119,0.175,0.415,0.238,0.000,0.000,0.000,0.176,0.113,0.164,0.184,0.191,0.250,0.192,0.000,0.062,0.000,0.047,0.190
model.000.10.pdb,0.136,0.383,0.000,0.294,0.034,0.000,0.000,0.000,0.581,0.675,0.565,0.031,0.684,0.500,0.014,0.000,0.000,0.000,0.000,0.351
model.000.11.pdb,0.000,0.000,0.015,0.255,0.019,0.000,0.000,0.000,0.070,0.053,0.000,0.017,0.056,0.029,0.016,0.000,0.000,0.000,0.015,0.000
model.000.12.pdb,0.030,0.151,0.000,0.426,0.000,0.000,0.000,0.000,0.568,0.545,0.281,0.000,0.413,0.254,0.000,0.000,0.000,0.000,0.000,0.114
model.000.13.pdb,0.111,0.310,0.000,0.341,0.039,0.000,0.000,0.000,0.649,0.667,0.444,0.035,0.781,0.392,0.016,0.000,0.000,0.000,0.000,0.273
model.000.14.pdb,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.117,0.100,0.014,0.000,0.068,0.027,0.000,0.000,0.000,0.000,0.000,0.000
model.000.15.pdb,0.032,0.066,0.014,0.455,0.018,0.000,0.000,0.000,0.222,0.204,0.111,0.016,0.170,0.134,0.015,0.000,0.000,0.000,0.000,0.056
model.000.16.pdb,0.305,0.755,0.037,0.152,0.045,0.025,0.104,0.000,0.219,0.222,0.491,0.070,0.321,0.492,0.081,0.069,0.101,0.000,0.049,0.673
model.000.17.pdb,0.431,0.141,0.446,0.000,0.222,0.132,0.080,0.296,0.000,0.000,0.130,0.385,0.014,0.151,0.434,0.217,0.596,0.087,0.500,0.203
model.000.18.pdb,0.286,0.467,0.053,0.340,0.102,0.000,0.000,0.000,0.521,0.440,0.638,0.092,0.605,0.660,0.087,0.000,0.051,0.000,0.026,0.464
model.000.19.pdb,0.000,0.000,0.026,0.000,0.000,0.072,0.040,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.029,0.026,0.333,0.040,0.000
